model_name,predicted_regime,n_months,avg_fwd_21d_return,avg_fwd_63d_return,avg_fwd_126d_return,median_fwd_63d_return,positive_63d_rate,risk_off_event_rate,jump_in_event_rate,avg_max_drawdown_next_63d
logistic,risk_on,38,0.01787174801224492,0.052495142546894226,0.09688428596214305,0.05106544143610145,0.868421052631579,0.2894736842105263,0.3684210526315789,-0.05678956642253158
logistic,neutral,30,0.02259216980569433,0.0632706750287785,0.12288265536849018,0.0683317801218377,0.8666666666666667,0.13333333333333333,0.5,-0.04024308633550297
logistic,risk_off,71,0.011896283001015076,0.035076932263686585,0.08316300468522994,0.0376538981892045,0.6338028169014085,0.2537313432835821,0.3880597014925373,-0.058415309261266236
gmm,risk_on,87,0.012912825822041117,0.05154352782255063,0.09414474247203104,0.058129788747578,0.8505747126436781,0.1724137931034483,0.3563218390804598,-0.04719392297242764
gmm,neutral,77,0.016091759583421395,0.042813074807076044,0.09712451005340471,0.0398810197748904,0.6623376623376623,0.2054794520547945,0.4246575342465753,-0.05035680968020927
gmm,risk_off,37,0.028940330638795215,0.05409675521598658,0.1089977648843575,0.0570065262668602,0.7567567567567568,0.21621621621621623,0.43243243243243246,-0.05078260891721096
consensus,risk_off,88,0.018351091190377446,0.0407783273757205,0.09041716565175803,0.04854444668318285,0.6704545454545454,0.2261904761904762,0.39285714285714285,-0.05490087245769576
consensus,risk_on,19,0.011585535675905782,0.0464413106809092,0.09233909164896652,0.0609932788767491,0.8421052631578947,0.3684210526315789,0.3684210526315789,-0.06665001498974975
consensus,neutral,41,0.016256444667753174,0.0619082371599221,0.10944649367176344,0.0583902662216633,0.9024390243902439,0.14634146341463414,0.43902439024390244,-0.039541455559088265
random_forest,neutral,85,0.014202780459740707,0.03908939705001809,0.08671694493698974,0.04079332811619845,0.7764705882352941,0.19047619047619047,0.36904761904761907,-0.04694369544644045
random_forest,risk_on,21,0.023025795917348338,0.08853239314266624,0.15096321491032402,0.07873925772308249,0.9047619047619048,0.25,0.55,-0.06070786879607974
random_forest,risk_off,33,0.0157082900762549,0.038352674653467506,0.08534870148104064,0.0299478666362094,0.5757575757575758,0.3548387096774194,0.41935483870967744,-0.06844174326463016
ensemble_blend,risk_on,35,0.020714873938764908,0.05366254243105576,0.10529312176987951,0.0437406166505396,0.8571428571428571,0.3142857142857143,0.37142857142857144,-0.057994050330325564
ensemble_blend,neutral,41,0.017642634932227688,0.057723619646638795,0.11376055880250893,0.0590550829639131,0.8780487804878049,0.0975609756097561,0.43902439024390244,-0.04088963342953368
ensemble_blend,risk_off,63,0.0119568266496405,0.033868351503613454,0.07751915454682516,0.0398810197748904,0.6031746031746031,0.288135593220339,0.4067796610169492,-0.060556866143285606
ensemble_majority,risk_on,26,0.012088051858462567,0.05646619378898892,0.10595856596832233,0.0596917725492062,0.8846153846153846,0.34615384615384615,0.38461538461538464,-0.06696130166829853
ensemble_majority,neutral,72,0.017136749602683972,0.04499478047358465,0.10028752835342528,0.04315378152533995,0.7777777777777778,0.14285714285714285,0.38571428571428573,-0.043903044438556534
ensemble_majority,risk_off,41,0.016143582717766787,0.04167524250378717,0.08200105748056734,0.0565054257043218,0.6097560975609756,0.3333333333333333,0.46153846153846156,-0.06320294565516431
