risk_off_threshold,jump_in_threshold,risk_on_leverage,start_date,end_date,final_value,xirr,time_weighted_cagr,max_drawdown,avg_target_leverage,risk_on_months,neutral_months,risk_off_months
0.5,0.55,2,2014-11-03,2026-04-09,136286.18958025248,0.2090749042551619,0.2091696211848761,-0.4682428677204203,1.292623521224774,40,34,64
0.5,0.5,2,2014-11-03,2026-04-09,130924.89595437716,0.2042562359516875,0.2044114610334073,-0.5189471733567665,1.3375086986778009,46,28,64
0.45,0.55,2,2014-11-03,2026-04-09,128949.73071476669,0.2024328033092096,0.2033227849329113,-0.4682427702960716,1.277661795407098,38,30,70
0.5,0.6,2,2014-11-03,2026-04-09,128926.37948930528,0.2024110848954864,0.2025837422475218,-0.4681654326057041,1.2713987473903967,37,37,64
0.4,0.55,2,2014-11-03,2026-04-09,128206.87718445851,0.2017400227311907,0.2026908951478221,-0.4682427702960716,1.277661795407098,38,28,72
0.45,0.5,2,2014-11-03,2026-04-09,123874.82790843691,0.1976209713483824,0.19858553888488,-0.5189470787355892,1.3225469728601251,44,24,70
0.4,0.5,2,2014-11-03,2026-04-09,123127.7254041367,0.1968965373211016,0.1979253708685626,-0.5189470787355892,1.3225469728601251,44,22,72
0.45,0.6,2,2014-11-03,2026-04-09,121982.90863757789,0.1957781561869805,0.1967654475571774,-0.4681653187582806,1.256437021572721,35,33,70
0.4,0.6,2,2014-11-03,2026-04-09,121240.05510727,0.1950470046702693,0.1960995156156482,-0.4681653187582806,1.256437021572721,35,31,72
0.5,0.55,3,2014-11-03,2026-04-09,142931.51600108348,0.21480002731953,0.2173684221262279,-0.6277221808884867,1.5852470424495475,40,34,64
0.5,0.5,3,2014-11-03,2026-04-09,129588.50827381769,0.2030254454523216,0.2055791336094343,-0.6978948392812203,1.675017397355602,46,28,64
0.45,0.55,3,2014-11-03,2026-04-09,128810.71282175588,0.2023034500148514,0.206342674303229,-0.6277221413874712,1.5553235908141962,38,30,70
0.5,0.6,3,2014-11-03,2026-04-09,128282.70293974952,0.2018109149418214,0.2045046386055951,-0.6276351977400526,1.5427974947807934,37,37,64
0.4,0.55,3,2014-11-03,2026-04-09,128031.34579734557,0.2015757565029038,0.2056769380926006,-0.6277221413874712,1.5553235908141962,38,28,72
0.45,0.5,3,2014-11-03,2026-04-09,116778.96586095066,0.1905626869302292,0.1946546725820801,-0.6978948008302681,1.6450939457202505,44,24,70
0.4,0.5,3,2014-11-03,2026-04-09,115992.3339289258,0.1897547625639469,0.1939172494473127,-0.6978948008302681,1.6450939457202505,44,22,72
0.45,0.6,3,2014-11-03,2026-04-09,115601.7160841525,0.1893515935871351,0.1935887355353243,-0.627635143622185,1.512874043145442,35,33,70
0.4,0.6,3,2014-11-03,2026-04-09,114822.34905974224,0.188543217590133,0.1928511900719407,-0.627635143622185,1.512874043145442,35,31,72
