window,strategy,start_date,end_date,final_value,xirr,time_weighted_total_return,time_weighted_cagr,max_drawdown,avg_target_leverage,total_external_contributed,final_multiple_on_contributed,final_delta_vs_plain_dca,risk_off_threshold,jump_in_threshold,strategy_mode,final_reserve_cash,final_exposure_equity,reserve_contributions,reserve_deployments,reserve_deploy_count,risk_on_entries,risk_on_leverage_cuts,risk_off_entries,transaction_costs,borrow_costs,risk_on_days,neutral_days,risk_off_days,risk_on_months,neutral_months,risk_off_months
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,61378.77088749598,0.11416633883724991,1.5898215564344294,0.11732535013997891,-0.2832970814281006,0.5949377046633266,23700.0,2.5898215564344294,,0.5,0.5,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,60908.90412497083,0.11325640297343648,1.5699959546401194,0.11643543153768432,-0.28328610258030196,0.5834962357967591,23700.0,2.5699959546401194,,0.5,0.55,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,60204.6271265214,0.11187923873983327,1.5402796255916202,0.11497199414429082,-0.26379157445456647,0.5752463381532,23700.0,2.5402796255916202,,0.5,0.6,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,58315.08511251618,0.10810287850550124,1.4605521144521596,0.1120682321866211,-0.2832482488126473,0.5706296064006368,23700.0,2.4605521144521596,,0.45,0.5,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,57869.634251485666,0.10719470224424948,1.441756719471969,0.11118274024464259,-0.283237036785812,0.5591884217927322,23700.0,2.441756719471969,,0.45,0.55,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,57202.317715569356,0.10582093886523039,1.4135999036105211,0.1097261815947046,-0.2637404505661719,0.5509385244091267,23700.0,2.413599903610521,,0.45,0.6,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,56245.66068313255,0.10382310206853662,1.3732346279802763,0.10826247109306553,-0.2832482488126473,0.5637306256144606,23700.0,2.3732346279802763,,0.4,0.5,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,55816.95157096893,0.10291666452122095,1.355145635905862,0.10738001501744687,-0.283237036785812,0.5522894408374709,23700.0,2.355145635905862,,0.4,0.55,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_1x,2014-11-03,2026-04-09,55175.27847693334,0.10154673730424202,1.3280708218115334,0.10592844167984139,-0.2637404505661719,0.5440395434458988,23700.0,2.3280708218115334,,0.4,0.6,allocation_1x,,,,,,,,,,,,,,,,
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,131452.6763643656,0.2047389725486476,7.419780227141745,0.20489711446861913,-0.5189594626431182,1.2992345163535142,23700.0,5.546526428876185,,0.5,0.55,leverage_2x,1100.0,130352.67636436559,6400.0,5300.0,14.0,14.0,15.0,15.0,433.94403803136186,7592.412456344342,860.0,691.0,1323.0,41.0,33.0,64.0
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,130924.89595437715,0.20425623595168751,7.381069548971453,0.20441146103340735,-0.5189471733567665,1.3375086986778009,23700.0,5.524257213264859,,0.5,0.5,leverage_2x,1100.0,129824.89595437715,6400.0,5300.0,14.0,14.0,15.0,15.0,431.36224508687235,8720.861928968548,970.0,581.0,1323.0,46.0,28.0,64.0
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,128926.37948930527,0.20241108489548643,7.236836138201689,0.20258374224752185,-0.4681654326057041,1.2713987473903967,23700.0,5.43993162402132,,0.5,0.6,leverage_2x,1100.0,127826.37948930527,6400.0,5300.0,14.0,14.0,15.0,15.0,428.2777242897431,6961.325895945489,780.0,771.0,1323.0,37.0,37.0,64.0
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,124374.87528797523,0.198103487282427,6.965844103615935,0.1990693205663947,-0.518959370862367,1.2842727905358386,23700.0,5.2478850332479,,0.45,0.55,leverage_2x,1200.0,123174.87528797523,7000.0,5800.0,17.0,14.0,15.0,18.0,433.7886966971825,6864.827969050193,817.0,607.0,1450.0,39.0,29.0,70.0
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,123874.82790843693,0.19762097134838247,6.929184349014411,0.19858553888488006,-0.5189470787355892,1.3225469728601253,23700.0,5.2267859876977605,,0.45,0.5,leverage_2x,1200.0,122674.82790843693,7000.0,5800.0,17.0,14.0,15.0,18.0,431.165913780104,8008.038730618757,927.0,497.0,1450.0,44.0,24.0,70.0
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,123632.02175766688,0.19738599743712126,6.916335578033981,0.19841549651262902,-0.518959370862367,1.2842727905358386,23700.0,5.2165410024332015,,0.4,0.55,leverage_2x,1200.0,122432.02175766688,7200.0,6000.0,15.0,14.0,15.0,16.0,432.68271952179583,6848.185622745142,817.0,563.0,1494.0,39.0,27.0,72.0
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,123127.7254041367,0.19689653732110163,6.8794068503474355,0.19792537086856266,-0.5189470787355892,1.3225469728601253,23700.0,5.19526267528003,,0.4,0.5,leverage_2x,1200.0,121927.7254041367,7200.0,6000.0,15.0,14.0,15.0,16.0,430.05430077483607,7988.070896977863,927.0,453.0,1494.0,44.0,22.0,72.0
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,121982.90863757787,0.19577815618698058,6.792637304223141,0.1967654475571774,-0.4681653187582806,1.256437021572721,23700.0,5.146958170361936,,0.45,0.6,leverage_2x,1200.0,120782.90863757787,7000.0,5800.0,17.0,14.0,15.0,18.0,428.1196045981806,6247.917593748086,737.0,687.0,1450.0,35.0,33.0,70.0
full_common_window,logistic_threshold_2x,2014-11-03,2026-04-09,121240.05510727,0.19504700467026934,6.743216298702089,0.1960995156156482,-0.4681653187582806,1.256437021572721,23700.0,5.115614139547257,,0.4,0.6,leverage_2x,1200.0,120040.05510727,7200.0,6000.0,15.0,14.0,15.0,16.0,427.0136274227941,6231.275247443032,737.0,643.0,1494.0,35.0,31.0,72.0
