model_name,predicted_regime,seasonality_bucket,flag,n_months,avg_fwd_21d_return,avg_fwd_63d_return,positive_21d_rate,risk_off_event_rate
logistic,risk_on,is_quarter_end,False,27,0.011254699912503854,0.0446471987017822,0.5925925925925926,0.3333333333333333
logistic,neutral,is_quarter_end,True,10,0.041458601657948076,0.04566692569261151,0.8,0.2
logistic,neutral,is_quarter_end,False,19,0.016155531799149216,0.07727769877461345,0.6842105263157895,0.05263157894736842
logistic,risk_on,is_quarter_end,True,12,0.02762279168626809,0.06354298075445375,0.8333333333333334,0.25
logistic,risk_off,is_quarter_end,False,47,0.008737252971126035,0.03562856836423853,0.5531914893617021,0.3181818181818182
logistic,risk_off,is_quarter_end,True,24,0.01821434306079316,0.034021628419152454,0.625,0.13043478260869565
logistic,risk_on,is_turn_of_quarter,True,12,0.03145720090175657,0.04667017475664801,0.75,0.3333333333333333
logistic,risk_on,is_turn_of_quarter,False,27,0.009550518038953423,0.05214622358969586,0.6296296296296297,0.2962962962962963
logistic,neutral,is_turn_of_quarter,False,20,0.027910688756439966,0.056274874073958245,0.75,0.1
logistic,neutral,is_turn_of_quarter,True,9,0.0181474828482796,0.08882756135162286,0.6666666666666666,0.1111111111111111
logistic,risk_off,is_turn_of_quarter,True,26,0.018444754579606384,0.034898203917859014,0.5384615384615384,0.2916666666666667
logistic,risk_off,is_turn_of_quarter,False,45,0.008175560513179107,0.035176687619497334,0.6,0.23255813953488372
gmm,risk_on,is_quarter_end,False,62,0.012352973795161823,0.05041753646076316,0.6129032258064516,0.16129032258064516
gmm,risk_on,is_quarter_end,True,25,0.014301258848701764,0.05433598639978349,0.64,0.2
gmm,neutral,is_quarter_end,False,49,0.006205041869934848,0.032956142609646924,0.5510204081632653,0.2826086956521739
gmm,risk_off,is_quarter_end,True,14,0.029783947954348685,0.012688550462029352,0.8571428571428571,0.2857142857142857
gmm,neutral,is_quarter_end,True,28,0.03366814662961971,0.059606366698992316,0.7142857142857143,0.07407407407407407
gmm,risk_off,is_quarter_end,False,23,0.028426824446719193,0.07930174941404751,0.6956521739130435,0.17391304347826086
gmm,risk_on,is_turn_of_quarter,False,59,0.010638300968296339,0.04895098840542102,0.5932203389830508,0.13559322033898305
gmm,risk_on,is_turn_of_quarter,True,28,0.01770557462100333,0.05700637873721659,0.6785714285714286,0.25
gmm,neutral,is_turn_of_quarter,True,25,0.01322031024731511,0.034430675626703613,0.56,0.21739130434782608
gmm,risk_off,is_turn_of_quarter,False,23,0.027525171089016927,0.048987510194994074,0.8260869565217391,0.2608695652173913
gmm,neutral,is_turn_of_quarter,False,52,0.01744302985923612,0.04666897843004735,0.6346153846153846,0.2
gmm,risk_off,is_turn_of_quarter,True,14,0.03126523561343097,0.0624905148933314,0.6428571428571429,0.14285714285714285
consensus,risk_off,is_quarter_end,True,30,0.024466594579872217,0.03291394029706428,0.7,0.1724137931034483
consensus,risk_off,is_quarter_end,False,58,0.01523969472905555,0.04492500419901196,0.603448275862069,0.2545454545454545
consensus,risk_on,is_quarter_end,False,14,0.0029976807797042803,0.028299139963358706,0.5,0.42857142857142855
consensus,neutral,is_quarter_end,True,12,0.03676806910070709,0.06676215237481296,0.75,0.08333333333333333
consensus,neutral,is_quarter_end,False,28,0.009609765312924314,0.06299704206569522,0.6428571428571429,0.14285714285714285
consensus,risk_on,is_quarter_end,True,6,0.022396936722310704,0.07656194344497286,0.8333333333333334,0.3333333333333333
consensus,risk_off,is_turn_of_quarter,False,55,0.0164509595678528,0.0401414270544122,0.6727272727272727,0.22641509433962265
consensus,risk_off,is_turn_of_quarter,True,33,0.021557563303387796,0.041867221473441144,0.5757575757575758,0.22580645161290322
consensus,risk_on,is_turn_of_quarter,True,6,0.006616761236580535,0.005872959954802232,0.5,0.6666666666666666
consensus,risk_on,is_turn_of_quarter,False,14,0.009760613130731495,0.05859441860200326,0.6428571428571429,0.2857142857142857
consensus,neutral,is_turn_of_quarter,False,27,0.013023387378154545,0.054730341077678636,0.6296296296296297,0.14814814814814814
consensus,neutral,is_turn_of_quarter,True,13,0.027589138366168716,0.08364183055691526,0.7692307692307693,0.07692307692307693
random_forest,neutral,is_quarter_end,False,56,0.01151302481378579,0.04652498434022184,0.5892857142857143,0.2
random_forest,neutral,is_quarter_end,True,29,0.019396791362274346,0.02498742115480409,0.7241379310344828,0.1724137931034483
random_forest,risk_on,is_quarter_end,False,14,0.006618608641877202,0.0743712907401177,0.5714285714285714,0.3076923076923077
