sector_group,direction,trades,net_pnl,avg_trade_pnl,trade_cvar95_pnl,trade_cvar95_return_pct,worst_trade_pnl
Communication Services,long,19,6258.864,329.4139,-1681.7719,-6.307,-1681.7719
Communication Services,short,22,3999.4265,181.7921,-448.2421,-8.3462,-591.8093
Consumer Discretionary,long,21,8565.0117,407.8577,-675.462,-9.0593,-985.9091
Consumer Discretionary,short,6,-2365.5202,-394.2534,-1692.0612,-10.043,-1692.0612
Crypto,long,37,3313.2653,89.5477,-2585.4758,-10.037,-2773.4027
Crypto,short,31,4476.4705,144.4023,-1184.403,-10.0432,-1496.1418
Energy,long,16,21324.0695,1332.7543,-396.5308,-10.0368,-396.5308
Energy,short,24,-4287.4649,-178.6444,-1247.9707,-10.0433,-1829.9203
Financials,long,16,7938.9211,496.1826,-2200.056,-10.037,-2200.056
Financials,short,9,10175.8386,1130.6487,-623.0235,-6.1511,-623.0235
Gold,long,26,1702.4002,65.4769,-299.2948,-4.1438,-318.6284
Gold,short,9,0.8407,0.0934,-16.0207,-3.7428,-16.0207
Information Technology,long,36,1500.7416,41.6873,-2405.5252,-10.0371,-2831.4115
Information Technology,short,23,374.5599,16.2852,-1533.7485,-10.0434,-2287.8795
Metals,long,22,9949.4724,452.2487,-654.8716,-6.4702,-1009.1535
Metals,short,13,-274.4913,-21.1147,-224.8149,-4.0604,-224.8149
