feature,label,qqq_fwd_21d_min_return_coef_pp_per_1sd,qqq_fwd_21d_min_return_q_value,qqq_fwd_42d_min_return_coef_pp_per_1sd,qqq_fwd_42d_min_return_q_value,qqq_fwd_21d_path_cvar20_coef_pp_per_1sd,qqq_fwd_21d_path_cvar20_q_value,qqq_fwd_42d_path_cvar20_coef_pp_per_1sd,qqq_fwd_42d_path_cvar20_q_value,ridge_min_21_importance,ridge_min_42_importance,ridge_cvar_21_importance,ridge_cvar_42_importance,logistic_light_importance,logistic_strong_importance,rf_light_importance,rf_strong_importance,valuation_flag,stress_flag,trend_flag,theme,score_qqq_fwd_42d_min_return,score_qqq_fwd_42d_path_cvar20,score_logistic_light_importance,score_logistic_strong_importance,score_rf_light_importance,score_rf_strong_importance,risk_driver_score,direction
vix_level,VIX level,1.6176759589077483,0.3846958201600796,3.207021581621223,0.1456268269481701,1.9033683253831992,0.177491048944482,3.6374940061555616,0.0489568678378696,-0.0007966724018882,0.0748382824813136,-0.0003314950026399,0.0790164769506072,-1.5440988011554928,-1.6329879827005511,-0.0045031055900621,0.0256530825496341,False,True,False,Stress / liquidity,0.5862777924899065,0.8128358861121355,1.0,0.9441584679114486,0.16081330868761592,0.5072314049586758,0.6685528100266304,higher values reduce hedge risk
cape_level,Shiller CAPE,-2.9413009852343928,0.0056645420595259,-4.679109682242093,0.0011901507164732,-2.63100575526288,0.0152753683730895,-4.2671951690301775,0.0026281091015483,-0.0031600020865923,0.0283751541931196,-0.0017206643260367,0.0257748071888137,-0.0684171361152911,0.2625976681727979,0.0106884057971013,0.0166144200626958,True,False,False,Valuation,1.0,1.0,0.04430878131897559,0.15182831391638762,0.3817005545286472,0.32851239669421345,0.48439167440970404,higher values raise hedge risk
hy_oas_level,High-yield spread,,,,,,,,,-0.0027327274021188,-0.1202499265723306,-0.0014421441500734,-0.113233503835219,1.1585603337958343,1.0734987120600017,-0.0096273291925466,-0.0012539184952979,False,True,False,Stress / liquidity,,,0.7503148975498529,0.6206738261523047,0.34380776340111135,0.02479338842975401,0.43489746888325576,higher values raise hedge risk
us10y_level,10Y Treasury yield level,-0.3846737509634746,0.5812856388306428,-0.4651920447215788,0.8376929923664143,-0.319438540469249,0.6821830780022375,-0.4116256758119285,0.8494060228586076,-0.0037829742261583,-0.0497921939541425,-0.0022630492422232,-0.0465873835160959,1.3476428289527114,1.7295698107891215,-0.004296066252588,-0.0195402298850575,False,False,False,Other,0.016155615494788753,0.014564997983859077,0.8727698175429138,1.0,0.15341959334565727,0.38636363636363813,0.4072122767884762,higher values raise hedge risk
cpi_yoy_pct,Inflation YoY,-0.5098900672775115,0.4507078446633458,-1.0594881466066863,0.3452849515243129,-0.6066019059606863,0.3716389086402003,-1.2213939288797633,0.1904996104001597,-0.0032576915856415,-0.0204131356668249,-0.002304487753683,-0.0170067999305612,0.6475028152736895,0.3588414722660286,0.0280020703933746,0.0201149425287355,False,True,False,Stress / liquidity,0.14842340262598397,0.23231282612752327,0.4193402745919787,0.20747440781375923,1.0,0.3977272727272714,0.40087969731441947,higher values raise hedge risk
qqq_realized_vol_21d,QQQ 1-month realized volatility,-1.2454553202569396,0.4228995714678049,-2.0365152273894997,0.1739209361301719,-1.0627427481399567,0.3716389086402003,-1.9362086475329805,0.1694174368018562,-0.0052098013277698,-0.0058956208703699,-0.002977955839657,-0.0043753258434997,0.3036414218908038,0.2640984249382121,0.0018374741200827,0.050574712643678,False,False,True,Trend,0.3599674532549887,0.37786384027123604,0.19664636852485107,0.15269601914346342,0.06561922365988529,1.0,0.3587988174757375,higher values raise hedge risk
nfci_level,Financial conditions level,-2.2176107313880244,0.0056645420595259,-3.7208094581684352,0.0013900902563054,-2.094670284338208,0.0152753683730895,-3.467733450140309,0.0026281091015483,-0.0022375301205553,0.0097499635175468,-0.0013088204390493,0.0056897795608197,0.0768097297806345,0.1641206188282996,-0.0101708074534162,-0.0006792058516197,False,True,False,Stress / liquidity,0.7950368526097333,0.8126493663350379,0.04974405117286251,0.0948910057313148,0.3632162661737559,0.013429752066116837,0.35482788234813695,higher values raise hedge risk
cpi_yoy_3m_change_pp,Inflation 3-month change,-0.4375318443838231,0.4405502191785685,-0.6085905617621066,0.5850416593331198,-0.3478942259385222,0.5227358598866183,-0.5352336044363645,0.6366535470746122,-0.0020894587666878,-0.0025076283678733,-0.001407598251643,-0.0039874194639955,0.091568325812704,0.6908455997187156,0.0246376811594202,0.0298850574712642,False,True,False,Stress / liquidity,0.05403605927264847,0.04569457754628523,0.05930211573519831,0.3994320410828142,0.8798521256931621,0.5909090909090895,0.3382043350398663,higher values raise hedge risk
unemployment_rate_pct,Unemployment rate,-1.643495228634242,0.0416623752755386,-2.051150508018845,0.1140827815863667,-1.579948239929435,0.042267404940488,-2.0132738023299424,0.0546020163064737,0.0001916849925868,-0.0411436906420213,0.0005247170519116,-0.0363634449835464,0.8407244186979465,0.6115239127015829,0.0029503105590061,0.0040752351097177,False,True,False,Stress / liquidity,0.3888164490656536,0.44721656662442694,0.5444757926557605,0.3535699506818827,0.10536044362291708,0.08057851239669114,0.32000295250788874,higher values raise hedge risk
t10y3m_level,10Y-3M curve,-0.3912857932070033,0.5812856388306428,-1.0782312280442172,0.3452849515243129,-0.5350013107615426,0.4427065619274629,-1.2678367786596585,0.1694174368018562,0.0001638988297518,-0.0313969941877982,7.615843854547031e-05,-0.0281994950009027,0.8849835067700412,0.6548482237240001,-0.0006728778467909,-0.0068443051201672,False,False,False,Other,0.15104911574185423,0.24742667823111839,0.5731391709570547,0.3786191338672959,0.024029574861368305,0.13533057851239735,0.2515990420285148,higher values raise hedge risk
