window,feature,horizon_days,n,spearman_corr,high_minus_low_mean
full,dxy_level,252,301,0.02836023705550992,-0.0027804560551537016
full,dxy_level,504,301,-0.0085164317761418,-0.0533092206633501
full,dxy_3m_return,252,298,-0.09900604210496244,-0.06954976032628644
full,dxy_3m_return,504,298,0.07517408830510668,0.0024987221218270433
full,dxy_12m_return,252,289,0.00331802092033568,-0.037110019682104686
full,dxy_12m_return,504,289,0.2666766097919898,0.047436478381499336
full,us2y_level,252,301,-0.23233575158635625,-0.15194994901242664
full,us2y_level,504,301,-0.3317864175054679,-0.17088000532278227
full,us10y_level,252,301,-0.31874749867189667,-0.1983073246974532
full,us10y_level,504,301,-0.49981903388566684,-0.2277321187335255
full,us30y_level,252,301,-0.29134209957917767,-0.16493247521288204
full,us30y_level,504,301,-0.49512544263365743,-0.22655822873399378
full,us2y_3m_change_pp,252,298,-0.14343191077032308,-0.04393975049753403
full,us2y_3m_change_pp,504,298,-0.0891588572421352,-0.018148508005289124
full,us2y_12m_change_pp,252,289,-0.027380806340923568,-0.01404335484804256
full,us2y_12m_change_pp,504,289,0.0833614539145617,0.0021847569359213087
full,us10y_3m_change_pp,252,298,-0.04302167988749378,0.028818149709292834
full,us10y_3m_change_pp,504,298,-0.07548111835560666,0.004175532058307466
full,us10y_12m_change_pp,252,289,-0.03502734456901326,-0.014043911711359464
full,us10y_12m_change_pp,504,289,-0.030712967259261613,-0.004093076881019619
full,us30y_12m_change_pp,252,289,0.024481982364155788,-0.014443437097197753
full,us30y_12m_change_pp,504,289,-0.010262163310278955,0.0002554182363272428
full,curve_10y2y_level,252,301,0.00826150618679871,0.012313653716188394
full,curve_10y2y_level,504,301,0.0727806374215963,0.08131674799493799
full,curve_30y2y_level,252,301,0.07207113451790309,0.05824463351349923
full,curve_30y2y_level,504,301,0.14126905165055514,0.1032658178594198
full,curve_10y2y_12m_change_pp,252,289,-0.03664378040999818,-0.025882078018823113
full,curve_10y2y_12m_change_pp,504,289,-0.2508167374739608,-0.05952884339394662
full,curve_30y2y_12m_change_pp,252,289,0.028689500059286027,0.007703797336459983
full,curve_30y2y_12m_change_pp,504,289,-0.1703889926234055,-0.031116005360352528
full,wti_level,252,301,0.009464704493657534,0.03641173431485628
full,wti_level,504,301,0.2596114010328618,0.1398376417366495
full,wti_3m_return,252,298,-0.1610305202368231,-0.06559268751598148
full,wti_3m_return,504,298,-0.1981973219206951,-0.05523752726627454
full,wti_12m_return,252,289,-0.315645507695979,-0.20301700521397756
full,wti_12m_return,504,289,-0.29995873602990897,-0.13384336215401266
1999_2011,dxy_level,252,154,-0.2016087165099881,-0.08802703223910388
1999_2011,dxy_level,504,154,-0.3489823948063144,-0.20208377795992144
1999_2011,dxy_3m_return,252,151,-0.11650400836528406,-0.1362454924843584
1999_2011,dxy_3m_return,504,151,-0.05993377483443708,-0.06761343630703333
1999_2011,dxy_12m_return,252,142,-0.14108187287689836,-0.1196167317485538
1999_2011,dxy_12m_return,504,142,-0.04709435006108666,-0.08155066022388721
1999_2011,us2y_level,252,154,-0.4058140071374571,-0.24640148011191304
1999_2011,us2y_level,504,154,-0.7980278250038687,-0.36808431316474444
1999_2011,us10y_level,252,154,-0.43693457266180274,-0.29049085426078464
1999_2011,us10y_level,504,154,-0.8023060289282229,-0.35783818471814277
1999_2011,us30y_level,252,154,-0.33523727588220437,-0.21096673628054893
1999_2011,us30y_level,504,154,-0.6719039458598278,-0.3003009864525209
1999_2011,us2y_3m_change_pp,252,151,-0.01124625517094865,0.034022508356220726
1999_2011,us2y_3m_change_pp,504,151,-0.08800765436580892,-0.007055722862130928
1999_2011,us2y_12m_change_pp,252,142,0.05243657609689638,0.007680203522174741
1999_2011,us2y_12m_change_pp,504,142,-0.08184649172889395,-0.09226696404997504
1999_2011,us10y_3m_change_pp,252,151,-0.033408274968881754,0.02573506061391921
1999_2011,us10y_3m_change_pp,504,151,-0.10871936985934648,-0.01558353942267697
1999_2011,us10y_12m_change_pp,252,142,-0.052615751219080534,-0.008808577588759022
1999_2011,us10y_12m_change_pp,504,142,-0.19852402631675303,-0.06736601762417185
1999_2011,us30y_12m_change_pp,252,142,-0.03879551986474375,-0.06381579205041041
1999_2011,us30y_12m_change_pp,504,142,-0.21082070612757275,-0.07477107374022376
1999_2011,curve_10y2y_level,252,154,0.3679496216252812,0.19351346873308733
1999_2011,curve_10y2y_level,504,154,0.6734995639360845,0.30942372142309627
1999_2011,curve_30y2y_level,252,154,0.38583650622509985,0.20216848519657157
1999_2011,curve_30y2y_level,504,154,0.6857966657740567,0.30744501872496083
1999_2011,curve_10y2y_12m_change_pp,252,142,-0.1068407144406515,-0.0770381184564516
1999_2011,curve_10y2y_12m_change_pp,504,142,-0.003070075253624826,0.06020480092135032
1999_2011,curve_30y2y_12m_change_pp,252,142,-0.06836075433483696,-0.02314586565429351
1999_2011,curve_30y2y_12m_change_pp,504,142,0.03448528780031505,0.08000788596124575
1999_2011,wti_level,252,154,0.06712508697036607,0.06862095413628476
1999_2011,wti_level,504,154,0.34545811500058066,0.18306962182708597
1999_2011,wti_3m_return,252,151,-0.054691530149877994,-0.002215623720027593
1999_2011,wti_3m_return,504,151,-0.05301498780062739,-0.005278207806568021
1999_2011,wti_12m_return,252,142,-0.142351804623306,-0.1169497278201227
1999_2011,wti_12m_return,504,142,-0.1006410431043335,-0.05327324372680005
2012_plus,dxy_level,252,147,0.301661900212582,0.13490430128399022
2012_plus,dxy_level,504,147,0.3961567377066923,0.11017882336100734
2012_plus,dxy_3m_return,252,147,-0.23371540396980708,-0.08666680501655782
2012_plus,dxy_3m_return,504,147,0.019244573060620027,0.004764323810240889
2012_plus,dxy_12m_return,252,147,-0.11414517676748598,-0.03876088955774443
2012_plus,dxy_12m_return,504,147,0.2741501635826489,0.07848098469462994
2012_plus,us2y_level,252,147,0.12892774692795142,0.024581784675180518
2012_plus,us2y_level,504,147,0.5035562977806081,0.13039181676661551
2012_plus,us10y_level,252,147,0.020342799514723633,0.03409822858733072
2012_plus,us10y_level,504,147,0.2636516734208833,0.07193601285664503
2012_plus,us30y_level,252,147,0.07590336077778756,0.05176565104748221
2012_plus,us30y_level,504,147,0.2490165208543718,0.05487568248065361
2012_plus,us2y_3m_change_pp,252,147,-0.35017445713174095,-0.1313145870554334
2012_plus,us2y_3m_change_pp,504,147,-0.19922018943213646,-0.02663838174699329
2012_plus,us2y_12m_change_pp,252,147,-0.22582052764208954,-0.0982123296801509
2012_plus,us2y_12m_change_pp,504,147,0.06614656631290926,0.006765048245715138
2012_plus,us10y_3m_change_pp,252,147,-0.1046780490038726,-0.03903827574900562
2012_plus,us10y_3m_change_pp,504,147,-0.16367125984504596,-0.04328126871712329
2012_plus,us10y_12m_change_pp,252,147,-0.10478713609057748,-0.07795485384992129
2012_plus,us10y_12m_change_pp,504,147,-0.05630658072554096,-0.02412045193286197
2012_plus,us30y_12m_change_pp,252,147,0.007625750745844272,-0.03471211766280047
2012_plus,us30y_12m_change_pp,504,147,0.01923343921084627,-0.00336662934483406
2012_plus,curve_10y2y_level,252,147,-0.32599587453405804,-0.11743227043671103
2012_plus,curve_10y2y_level,504,147,-0.46196522762839565,-0.1256485609727987
2012_plus,curve_30y2y_level,252,147,-0.23249909804696192,-0.09567173574772767
2012_plus,curve_30y2y_level,504,147,-0.3849603409782463,-0.1188389550511885
2012_plus,curve_10y2y_12m_change_pp,252,147,0.14086537008894864,0.04997014792338286
2012_plus,curve_10y2y_12m_change_pp,504,147,-0.34235689244486806,-0.08930204973429892
2012_plus,curve_30y2y_12m_change_pp,252,147,0.26569334243965553,0.12106556880156114
2012_plus,curve_30y2y_12m_change_pp,504,147,-0.2039806305026213,-0.03325906891906541
2012_plus,wti_level,252,147,-0.18769898875234928,-0.08685144654023072
2012_plus,wti_level,504,147,-0.01312440321083783,0.002005064575821447
2012_plus,wti_3m_return,252,147,-0.1955322669608384,-0.10259526581548034
2012_plus,wti_3m_return,504,147,-0.2586721471261589,-0.07331897352901018
2012_plus,wti_12m_return,252,147,-0.31446025281641726,-0.16698549915272554
2012_plus,wti_12m_return,504,147,-0.1942591179381786,-0.053048146095481
december_only,dxy_level,252,25,0.018461538461538463,
december_only,dxy_level,504,25,0.043076923076923075,
december_only,dxy_3m_return,252,25,-0.20846153846153848,
december_only,dxy_3m_return,504,25,-0.05846153846153846,
december_only,dxy_12m_return,252,24,-0.02260869565217391,
december_only,dxy_12m_return,504,24,0.15217391304347824,
december_only,us2y_level,252,25,-0.29165065644795957,
december_only,us2y_level,504,25,-0.2647172185174092,
december_only,us10y_level,252,25,-0.42585113309388356,
december_only,us10y_level,504,25,-0.45162532091438057,
december_only,us30y_level,252,25,-0.38384615384615384,
december_only,us30y_level,504,25,-0.43538461538461537,
december_only,us2y_3m_change_pp,252,25,-0.41854203505523513,
december_only,us2y_3m_change_pp,504,25,-0.2881323384709294,
december_only,us2y_12m_change_pp,252,24,-0.09478260869565217,
december_only,us2y_12m_change_pp,504,24,0.08869565217391304,
december_only,us10y_3m_change_pp,252,25,-0.06078092053191834,
december_only,us10y_3m_change_pp,504,25,-0.16426236118436158,
december_only,us10y_12m_change_pp,252,24,-0.06869565217391303,
december_only,us10y_12m_change_pp,504,24,-0.023478260869565212,
december_only,us30y_12m_change_pp,252,24,-0.019134594929397595,
december_only,us30y_12m_change_pp,504,24,0.0487062416384666,
december_only,curve_10y2y_level,252,25,0.0015387574818207176,
december_only,curve_10y2y_level,504,25,0.03000577089550399,
december_only,curve_30y2y_level,252,25,0.03307692307692307,
december_only,curve_30y2y_level,504,25,0.0723076923076923,
december_only,curve_10y2y_12m_change_pp,252,24,0.02260869565217391,
december_only,curve_10y2y_12m_change_pp,504,24,-0.21565217391304345,
december_only,curve_30y2y_12m_change_pp,252,24,0.04521739130434782,
december_only,curve_30y2y_12m_change_pp,504,24,-0.15565217391304348,
december_only,wti_level,252,25,0.17384615384615384,
december_only,wti_level,504,25,0.28538461538461535,
december_only,wti_3m_return,252,25,-0.020769230769230772,
december_only,wti_3m_return,504,25,-0.12923076923076923,
december_only,wti_12m_return,252,24,-0.17217391304347823,
december_only,wti_12m_return,504,24,-0.10869565217391304,
