feature,auxiliary_r2,vif,n_obs
qqq_sma65,0.997607733386829,418.0136087233436,306
qqq_sma222,0.9974772223391155,396.38847905819745,306
hy_oas_level,0.9675196111092462,30.7878087101559,306
curve_10y2y_level,0.9549683627095973,22.20660984523259,306
t10y3m_level,0.9450488798422592,18.1979911806972,306
qqq_drawdown_252d,0.9449956778785308,18.18038949360456,306
qqq_vs_sma200,0.9421152079469651,17.27569478152026,306
qqq_63d_return,0.9313750243887188,14.571954176922294,306
hy_oas_63d_change_pp,0.9212243372732404,12.694275939874842,306
vix_level,0.9045954264399679,10.481677792634995,306
cape_level,0.89631204521977,9.644321774110917,306
qqq_feedback_score,0.8954434538173517,9.564202687540142,306
nfci_63d_change,0.8938797187500889,9.42326940921896,306
nfci_level,0.8875740103519129,8.894740469976503,306
unemployment_rate_pct,0.8268264735338462,5.774554693239712,306
external_shock_score,0.8185312422598088,5.510590431393704,306
qqq_realized_vol_21d,0.8106882020400741,5.282290965361192,306
cape_63d_change,0.8030580688582073,5.077638846143069,306
latent_sentiment_index,0.78842646834112,4.726489141431451,306
cpi_yoy_pct,0.7165220177309319,3.5276108288750008,306
us10y_level,0.6851530792399088,3.176146673392386,306
qqq_21d_return,0.6634060696506376,2.970938896497824,306
qqq_volume,0.6484220598856343,2.844319526062151,306
vix_21d_change,0.6305468142301377,2.706702874726094,306
us10y_63d_change_pp,0.5950529798176465,2.4694588431585087,306
unemployment_6m_change_pp,0.5507908012250684,2.226134288271849,306
dxy_63d_return,0.5090978388378589,2.037065792565757,306
gold_63d_return,0.4871760727615524,1.9499870167622468,306
wti_63d_return,0.48429941637269636,1.9391096922292783,306
cpi_yoy_3m_change_pp,0.4462221616371991,1.8057782936139493,306
