strategy,date,event,price,regime,short_equity,short_cash,start_label
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2007-08-15,short_entry_channel,39.416202545166016,risk_off,1299.22,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2007-08-31,short_exit_channel,41.9666633605957,risk_off,,1133.5705943892851,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2007-11-09,short_entry_channel,42.9593620300293,risk_off,1432.7104520326516,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2007-12-06,short_exit_channel,44.952693939208984,risk_off,,1375.786286082879,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2008-01-04,short_entry_channel,41.62800598144531,risk_off,1474.9008143112294,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2008-03-24,short_exit_channel,38.37246322631836,risk_off,,1824.9019112830754,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2008-06-24,short_entry_channel,40.320064544677734,risk_off,2123.6269701363058,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2008-08-06,short_exit_channel,40.16498947143555,risk_off,,2255.7817660486508,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2008-09-04,short_entry_channel,37.60676956176758,risk_off,2354.3682969890215,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2009-01-02,short_exit_channel,26.784709930419922,risk_off,,3449.7927799147765,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2009-02-23,short_entry_channel,24.048410415649414,risk_off,3647.6029042468276,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2009-03-17,short_exit_channel,25.317285537719727,risk_off,,3239.0349369795526,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2014-10-01,short_entry_channel,89.0638198852539,neutral,399.76,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2014-10-28,short_exit_channel,91.78492736816406,neutral,,370.66143013880475,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2014-12-16,short_entry_channel,91.60167694091797,neutral,570.3190332807214,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2015-02-11,short_exit_channel,96.35718536376953,neutral,,693.3420894983749,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2015-06-29,short_entry_channel,98.56546020507812,neutral,1092.6860842446758,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2015-07-16,short_exit_channel,103.41563415527344,neutral,,1078.2052110869793,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2015-08-21,short_entry_channel,94.60214233398438,neutral,1177.4982879603272,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2015-09-15,short_exit_channel,98.38067626953125,neutral,,1147.5523439257786,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2016-01-07,short_entry_channel,97.4163589477539,neutral,1546.6238125194232,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2016-02-25,short_exit_channel,96.19947052001953,neutral,,1630.4293481494833,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2016-04-29,short_entry_channel,98.49726867675781,neutral,1829.3310905405936,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2016-05-24,short_exit_channel,101.05006408691406,neutral,,1819.07642317693,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2016-06-27,short_entry_channel,95.49005889892578,risk_off,1917.9249773230238,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2016-07-08,short_exit_channel,103.0380630493164,neutral,,1732.522676916612,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2016-11-03,short_entry_channel,106.80813598632812,neutral,2131.243163310462,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2016-11-21,short_exit_channel,111.01302337646484,neutral,,1958.1379245492762,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2017-07-03,short_entry_channel,128.5347137451172,neutral,2756.483041794547,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2017-07-18,short_exit_channel,135.09405517578125,neutral,,2483.8366967087413,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2018-02-08,short_entry_channel,145.44503784179688,neutral,3181.9263946907163,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2018-02-26,short_exit_channel,161.51083374023438,neutral,,2557.255209292633,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2018-03-28,short_entry_channel,149.2886199951172,neutral,2655.6608561670573,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2018-04-17,short_exit_channel,157.69058227539062,neutral,,2434.1870718981004,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2018-10-10,short_entry_channel,163.6785125732422,neutral,3032.3665596549617,,comparable_2007_05_31
GMM 60L/30Reserve/10Short2x Donchian30_15 deploy risk_on,2019-01-15,short_exit_channel,155.209716796875,neutral,,3351.7765182392163,comparable_2007_05_31
