date,Plain DCA 100% QQQ,GMM risk_off reserve; 20pct reserve short Donchian40_20; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short Donchian60_30; deploy out of risk_off
2000-09-05,9997.000899730081,9997.000899730081,9997.000899730081
2000-09-06,9645.346957897294,9645.346957897294,9645.346957897294
2000-09-07,9858.8513315885,9858.8513315885,9858.8513315885
2000-09-08,9557.440287684518,9557.440287684518,9557.440287684518
2000-09-11,9325.090397360489,9325.090397360489,9325.090397360489
2000-09-12,9180.665351237023,9180.665351237023,9180.665351237023
2000-09-13,9394.167907529449,9394.167907529449,9394.167907529449
2000-09-14,9343.931370496368,9343.931370496368,9343.931370496368
2000-09-15,9174.383512359416,9174.383512359416,9174.383512359416
2000-09-18,9029.956648837171,9029.956648837171,9029.956648837171
2000-09-19,9362.771434932858,9362.771434932858,9362.771434932858
2000-09-20,9507.199207154492,9507.199207154492,9507.199207154492
2000-09-21,8816.450457747189,8816.450457747189,8816.450457747189
2000-09-22,9337.654075115706,9337.654075115706,9337.654075115706
2000-09-25,9089.608220241855,9089.608220241855,9089.608220241855
2000-09-26,8986.001041982308,8986.001041982308,8986.001041982308
2000-09-27,8998.552906645466,8998.552906645466,8998.552906645466
2000-09-28,9199.502689575345,9199.502689575345,9199.502689575345
2000-09-29,8916.92444051274,8916.92444051274,8916.92444051274
2000-10-02,9715.682925850371,9715.922835877363,9715.982835877363
2000-10-03,9407.690986371796,9445.960078784306,9439.681882195418
2000-10-04,9589.685210411611,9605.237410186794,9602.949718853542
2000-10-05,9617.68650348653,9629.76682844137,9628.06980476886
2000-10-06,9295.694930395293,9347.65937710629,9339.209716828647
2000-10-09,9253.69501663251,9310.922885240103,9301.531405354448
2000-10-10,8770.707150533255,8888.56128938528,8868.180819094434
2000-10-11,8630.71385318102,8766.489309425124,8745.783537059013
2000-10-12,8413.721051571947,8577.45178829172,8556.225432850835
2000-10-13,9099.697021043628,9174.135504979373,9154.639747648724
2000-10-16,9183.69887441879,9247.548393990683,9228.232607459604
2000-10-17,8763.712904813305,8880.326362777723,8860.127232896011
2000-10-18,8735.709585888793,8855.902201157152,8835.638527550396
2000-10-19,9526.687365617028,9545.65725614335,9527.22836371848
2000-10-20,9666.683701743654,9668.320979166869,9650.1629025376
2000-10-23,9652.685081055788,9656.047015230435,9637.86264333435
2000-10-24,9239.697408869439,9293.964535572992,9275.002149957772
2000-10-25,8721.710965200928,8840.768532306436,8820.743096868951
2000-10-26,8945.702064229137,9036.152250122468,9016.64110818887
2000-10-27,8928.207840068491,9020.870583634534,9001.321285691694
2000-10-30,8597.463583810551,8731.987307824853,8711.713808774211
2000-10-31,9150.449617973116,9213.97700428309,9195.007490033235
2000-11-01,10071.401895490499,10145.096777215127,10125.964013309476
2000-11-02,10195.741023495775,10243.016348991365,10224.119793629969
2000-11-03,10327.850784726907,10347.121624435038,10328.469918311293
2000-11-06,10250.137705174662,10285.842246341723,10267.050193348916
2000-11-07,10211.282289947487,10255.214946618815,10236.35165819064
2000-11-08,9412.799121288146,9625.94091516679,9605.60258982476
2000-11-09,9410.854776158261,9624.415190082189,9604.072663574989
2000-11-10,8921.270584186435,9240.243839315763,9218.843026431865
2000-11-13,8934.872565978525,9250.882279531326,9229.51409579643
2000-11-14,9430.283608320795,9638.39440025655,9618.211016203897
2000-11-15,9620.67480556927,9787.836186139966,9768.060291279997
2000-11-16,9061.15210319237,9348.143452165834,9327.217423624226
2000-11-17,9055.322441449556,9343.578296216778,9322.638804523174
2000-11-20,8686.194872242448,9054.529665199772,9032.736604379365
2000-11-21,8672.597388646145,9043.910923938522,9022.083747974326
2000-11-22,8284.03761362966,8740.504316686545,8717.699214248674
2000-11-24,8758.077165502931,9109.447843537937,9087.947723168507
2000-11-27,8649.283239870683,9024.423379143473,9002.656181600325
2000-11-28,8138.331493351174,8625.446262149786,8602.39317914156
2000-11-29,7825.539890482573,8382.271210758348,8358.332097144083
2000-11-30,7831.368427676439,8386.788249874438,8362.86696634168
2000-12-01,8957.34917941224,9484.660306106698,9461.124752800097
2000-12-04,9097.310628221458,9581.159222821792,9557.991420071
2000-12-05,9893.32170850584,10130.678969750667,10109.538340573377
2000-12-06,9517.18358223946,9869.348734603725,9847.404351451672
2000-12-07,9307.247421686283,9723.87430000169,9701.44585352304
2000-12-08,9517.18358223946,9869.11266568201,9847.190119791103
2000-12-11,10409.41368864167,10487.402130847537,10467.534810148394
2000-12-12,10028.909737831062,10222.099692669024,10201.506145282752
2000-12-13,9619.970332523055,9937.611176184693,9916.177905115443
2000-12-14,9149.794193676018,9611.409203482455,9588.928381091748
2000-12-15,8939.854868564602,9466.2757535066,9443.279115286514
2000-12-18,8957.34917941224,9478.347946266511,9455.3963099333
2000-12-19,8275.052701916617,9007.44564979241,8982.745748396706
2000-12-20,7800.505042320525,8682.093522907,8655.977161601999
