date,Plain DCA 100% QQQ,GMM risk_off reserve no short; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 1x Donchian20_10; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 2x Donchian20_10; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 3x Donchian20_10; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 1x Donchian40_20; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 2x Donchian40_20; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 3x Donchian40_20; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 1x Donchian60_30; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 2x Donchian60_30; deploy out of risk_off,GMM risk_off reserve; 20pct reserve short 3x Donchian60_30; deploy out of risk_off
2007-05-31,9997.000899730081,9997.000899730081,9997.000899730081,9997.000899730081,9997.000899730081,9997.000899730081,9997.000899730081,9997.000899730081,9997.000899730081,9997.000899730081,9997.000899730081
2007-06-01,11003.025804939118,11003.025804939118,11003.025804939118,11003.025804939118,11003.025804939118,11003.025804939118,11003.025804939118,11003.025804939118,11003.025804939118,11003.025804939118,11003.025804939118
2007-06-04,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896
2007-06-05,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896,11035.497510275896
2007-06-06,10917.206548138023,10917.206548138023,10917.206548138023,10917.206548138023,10917.206548138023,10917.206548138023,10917.206548138023,10917.206548138023,10917.206548138023,10917.206548138023,10917.206548138023
2007-06-07,10747.892155704041,10747.892155704041,10747.892155704041,10747.892155704041,10747.892155704041,10747.892155704041,10747.892155704041,10747.892155704041,10747.892155704041,10747.892155704041,10747.892155704041
2007-06-08,10880.096911561413,10880.096911561413,10880.096911561413,10880.096911561413,10880.096911561413,10880.096911561413,10880.096911561413,10880.096911561413,10880.096911561413,10880.096911561413,10880.096911561413
2007-06-11,10859.227252091821,10859.227252091821,10859.227252091821,10859.227252091821,10859.227252091821,10859.227252091821,10859.227252091821,10859.227252091821,10859.227252091821,10859.227252091821,10859.227252091821
2007-06-12,10794.28590363758,10794.28590363758,10794.28590363758,10794.28590363758,10794.28590363758,10794.28590363758,10794.28590363758,10794.28590363758,10794.28590363758,10794.28590363758,10794.28590363758
2007-06-13,10912.567585788533,10912.567585788533,10912.567585788533,10912.567585788533,10912.567585788533,10912.567585788533,10912.567585788533,10912.567585788533,10912.567585788533,10912.567585788533,10912.567585788533
2007-06-14,10984.47201776047,10984.47201776047,10984.47201776047,10984.47201776047,10984.47201776047,10984.47201776047,10984.47201776047,10984.47201776047,10984.47201776047,10984.47201776047,10984.47201776047
2007-06-15,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427
2007-06-18,11088.232582603605,11088.232582603605,11088.232582603605,11088.232582603605,11088.232582603605,11088.232582603605,11088.232582603605,11088.232582603605,11088.232582603605,11088.232582603605,11088.232582603605
2007-06-19,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427,11085.905368106427
2007-06-20,10981.454990902366,10981.454990902366,10981.454990902366,10981.454990902366,10981.454990902366,10981.454990902366,10981.454990902366,10981.454990902366,10981.454990902366,10981.454990902366,10981.454990902366
2007-06-21,11081.260219098991,11081.260219098991,11081.260219098991,11081.260219098991,11081.260219098991,11081.260219098991,11081.260219098991,11081.260219098991,11081.260219098991,11081.260219098991,11081.260219098991
2007-06-22,10976.810873004586,10976.810873004586,10976.810873004586,10976.810873004586,10976.810873004586,10976.810873004586,10976.810873004586,10976.810873004586,10976.810873004586,10976.810873004586,10976.810873004586
2007-06-25,10930.385160671663,10930.385160671663,10930.385160671663,10930.385160671663,10930.385160671663,10930.385160671663,10930.385160671663,10930.385160671663,10930.385160671663,10930.385160671663,10930.385160671663
2007-06-26,10867.71947123172,10867.71947123172,10867.71947123172,10867.71947123172,10867.71947123172,10867.71947123172,10867.71947123172,10867.71947123172,10867.71947123172,10867.71947123172,10867.71947123172
2007-06-27,11034.839662314354,11034.839662314354,11034.839662314354,11034.839662314354,11034.839662314354,11034.839662314354,11034.839662314354,11034.839662314354,11034.839662314354,11034.839662314354,11034.839662314354
2007-06-28,11030.198637745549,11030.198637745549,11030.198637745549,11030.198637745549,11030.198637745549,11030.198637745549,11030.198637745549,11030.198637745549,11030.198637745549,11030.198637745549,11030.198637745549
2007-06-29,11048.762736020772,11048.762736020772,11048.762736020772,11048.762736020772,11048.762736020772,11048.762736020772,11048.762736020772,11048.762736020772,11048.762736020772,11048.762736020772,11048.762736020772
2007-07-02,12148.276303067665,12148.276303067665,12148.276303067665,12148.276303067665,12148.276303067665,12148.276303067665,12148.276303067665,12148.276303067665,12148.276303067665,12148.276303067665,12148.276303067665
2007-07-03,12219.098286599921,12219.098286599921,12219.098286599921,12219.098286599921,12219.098286599921,12219.098286599921,12219.098286599921,12219.098286599921,12219.098286599921,12219.098286599921,12219.098286599921
2007-07-05,12307.627732262623,12307.627732262623,12307.627732262623,12307.627732262623,12307.627732262623,12307.627732262623,12307.627732262623,12307.627732262623,12307.627732262623,12307.627732262623,12307.627732262623
2007-07-06,12358.20860346747,12358.20860346747,12358.20860346747,12358.20860346747,12358.20860346747,12358.20860346747,12358.20860346747,12358.20860346747,12358.20860346747,12358.20860346747,12358.20860346747
2007-07-09,12365.79831835904,12365.79831835904,12365.79831835904,12365.79831835904,12365.79831835904,12365.79831835904,12365.79831835904,12365.79831835904,12365.79831835904,12365.79831835904,12365.79831835904
2007-07-10,12262.097307902723,12262.097307902723,12262.097307902723,12262.097307902723,12262.097307902723,12262.097307902723,12262.097307902723,12262.097307902723,12262.097307902723,12262.097307902723,12262.097307902723
2007-07-11,12345.566194591089,12345.566194591089,12345.566194591089,12345.566194591089,12345.566194591089,12345.566194591089,12345.566194591089,12345.566194591089,12345.566194591089,12345.566194591089,12345.566194591089
2007-07-12,12535.261876943212,12535.261876943212,12535.261876943212,12535.261876943212,12535.261876943212,12535.261876943212,12535.261876943212,12535.261876943212,12535.261876943212,12535.261876943212,12535.261876943212
2007-07-13,12621.259919548815,12621.259919548815,12621.259919548815,12621.259919548815,12621.259919548815,12621.259919548815,12621.259919548815,12621.259919548815,12621.259919548815,12621.259919548815,12621.259919548815
2007-07-16,12608.614139962636,12608.614139962636,12608.614139962636,12608.614139962636,12608.614139962636,12608.614139962636,12608.614139962636,12608.614139962636,12608.614139962636,12608.614139962636,12608.614139962636
2007-07-17,12704.724311957452,12704.724311957452,12704.724311957452,12704.724311957452,12704.724311957452,12704.724311957452,12704.724311957452,12704.724311957452,12704.724311957452,12704.724311957452,12704.724311957452
2007-07-18,12689.551623593903,12689.551623593903,12689.551623593903,12689.551623593903,12689.551623593903,12689.551623593903,12689.551623593903,12689.551623593903,12689.551623593903,12689.551623593903,12689.551623593903
2007-07-19,12727.486715212572,12727.486715212572,12727.486715212572,12727.486715212572,12727.486715212572,12727.486715212572,12727.486715212572,12727.486715212572,12727.486715212572,12727.486715212572,12727.486715212572
2007-07-20,12659.196134737416,12659.196134737416,12659.196134737416,12659.196134737416,12659.196134737416,12659.196134737416,12659.196134737416,12659.196134737416,12659.196134737416,12659.196134737416,12659.196134737416
2007-07-23,12664.255570141819,12664.255570141819,12664.255570141819,12664.255570141819,12664.255570141819,12664.255570141819,12664.255570141819,12664.255570141819,12664.255570141819,12664.255570141819,12664.255570141819
2007-07-24,12477.085672997135,12477.085672997135,12477.085672997135,12477.085672997135,12477.085672997135,12477.085672997135,12477.085672997135,12477.085672997135,12477.085672997135,12477.085672997135,12477.085672997135
2007-07-25,12494.79313512758,12494.79313512758,12494.79313512758,12494.79313512758,12494.79313512758,12494.79313512758,12494.79313512758,12494.79313512758,12494.79313512758,12494.79313512758,12494.79313512758
2007-07-26,12388.566339463821,12388.566339463821,12388.566339463821,12388.566339463821,12388.566339463821,12388.566339463821,12388.566339463821,12388.566339463821,12388.566339463821,12388.566339463821,12388.566339463821
2007-07-27,12138.158555828792,12138.158555828792,12138.158555828792,12138.158555828792,12138.158555828792,12138.158555828792,12138.158555828792,12138.158555828792,12138.158555828792,12138.158555828792,12138.158555828792
2007-07-30,12279.803646463235,12279.803646463235,12279.803646463235,12279.803646463235,12279.803646463235,12279.803646463235,12279.803646463235,12279.803646463235,12279.803646463235,12279.803646463235,12279.803646463235
2007-07-31,12021.810642216362,12021.810642216362,12021.810642216362,12021.810642216362,12021.810642216362,12021.810642216362,12021.810642216362,12021.810642216362,12021.810642216362,12021.810642216362,12021.810642216362
2007-08-01,13115.095118976746,13115.39502900374,13115.39502900374,13115.39502900374,13115.39502900374,13115.39502900374,13115.39502900374,13115.39502900374,13115.39502900374,13115.39502900374,13115.39502900374
2007-08-02,13235.568982627357,13226.685754351629,13226.685754351629,13226.685754351629,13226.685754351629,13226.685754351629,13226.685754351629,13226.685754351629,13226.685754351629,13226.685754351629,13226.685754351629
2007-08-03,12983.673508743877,12993.991050696703,12993.991050696703,12993.991050696703,12993.991050696703,12993.991050696703,12993.991050696703,12993.991050696703,12993.991050696703,12993.991050696703,12993.991050696703
2007-08-06,13134.263709815139,13133.102491134185,13133.102491134185,13133.102491134185,13133.102491134185,13133.102491134185,13133.102491134185,13133.102491134185,13133.102491134185,13133.102491134185,13133.102491134185
2007-08-07,13227.35543605809,13219.098286599921,13219.098286599921,13219.098286599921,13219.098286599921,13219.098286599921,13219.098286599921,13219.098286599921,13219.098286599921,13219.098286599921,13219.098286599921
2007-08-08,13372.46872313536,13353.150291633,13353.150291633,13353.150291633,13353.150291633,13353.150291633,13353.150291633,13353.150291633,13353.150291633,13353.150291633,13353.150291633
