sell_date,buy_date,cash_days,sell_price,buy_price,price_change_while_out
2000-05-11,2000-05-12,1.0,71.3863754272461,71.3863754272461,0.0
2000-05-22,2000-05-31,9.0,68.85569763183594,70.1209716796875,0.018375734926350473
2000-06-01,2000-06-02,1.0,73.70616912841797,78.9784164428711,0.07153061103022873
2000-07-31,2000-08-08,8.0,75.44601440429688,79.40018463134766,0.05241059131183978
2000-08-11,2000-08-15,4.0,76.81676483154297,78.45117950439453,0.021276796496647377
2000-09-12,2001-12-06,450.0,77.08040618896484,36.197208404541016,-0.5303967610678839
2001-12-14,2001-12-18,4.0,33.83522415161133,34.80532455444336,0.028671315977844225
2001-12-21,2001-12-31,10.0,33.30380630493164,32.822967529296875,-0.014437952564105627
2002-01-02,2002-01-04,2.0,33.83522415161133,35.15119934082031,0.03889364478013402
2002-01-15,2002-01-16,1.0,34.029239654541016,32.71330261230469,-0.03867077418113052
2002-01-17,2002-12-03,320.0,33.44719696044922,22.919553756713867,-0.31475412472333997
2002-12-04,2003-01-08,35.0,22.413415908813477,21.84823226928711,-0.025216309813093862
2003-01-09,2003-01-10,1.0,22.523075103759766,22.860502243041992,0.014981397421433895
2003-01-21,2003-03-03,41.0,21.11432647705078,20.793787002563477,-0.01518113660105147
2003-03-04,2003-03-14,10.0,20.667251586914062,21.696392059326172,0.04979571028514185
2004-03-24,2004-03-25,1.0,29.046720504760742,29.82311248779297,0.026729075418513215
2004-05-03,2004-05-04,1.0,29.62056541442871,29.747150421142578,0.004273551329719183
2004-05-10,2004-05-12,2.0,29.257701873779297,29.755599975585938,0.0170176763696146
2004-05-14,2004-05-26,12.0,29.325199127197266,30.540416717529297,0.04143936363606793
2004-07-09,2004-10-04,87.0,30.169095993041992,30.641679763793945,0.015664498891877487
2004-10-11,2004-10-19,8.0,30.169095993041992,30.278799057006836,0.00363627282667478
2004-10-25,2004-10-27,2.0,30.067819595336914,30.996124267578125,0.030873694359439874
2005-03-21,2005-03-22,1.0,31.16518211364746,30.781776428222656,-0.01230237269356138
2005-03-23,2005-03-31,8.0,30.892559051513672,31.156654357910156,0.008548832291818353
2005-04-04,2005-04-06,2.0,31.062929153442383,31.097026824951172,0.0010976965932720795
2005-04-07,2005-04-08,1.0,31.471885681152344,31.216297149658203,-0.008121169925550564
2005-04-12,2005-04-13,1.0,31.233360290527344,30.7221622467041,-0.01636705237823166
2005-04-14,2005-05-18,34.0,30.287656784057617,31.693391799926758,0.046412801950696636
2005-06-27,2005-06-29,2.0,31.381591796875,31.611835479736328,0.007336902613214624
2005-06-30,2005-07-11,11.0,31.364538192749023,32.50726318359375,0.03643366224052702
2005-10-13,2005-10-14,1.0,32.21730422973633,32.456077575683594,0.00741133846099018
2006-05-15,2006-09-18,126.0,34.35356521606445,34.36222839355469,0.0002521769556012021
2006-09-20,2006-09-21,1.0,34.627723693847656,34.413612365722656,-0.0061832342783491034
2006-09-25,2006-09-26,1.0,34.74762725830078,34.9189338684082,0.004930023245443227
2008-01-07,2008-05-02,116.0,41.430171966552734,41.9790153503418,0.013247431949646504
2008-05-08,2008-05-09,1.0,41.66054153442383,41.49701690673828,-0.003925168076618246
2008-06-12,2008-06-16,4.0,40.8170051574707,42.00482940673828,0.029101210259914634
2008-06-19,2008-06-20,1.0,41.9790153503418,40.8454704284668,-0.027002656265632696
2008-06-23,2008-08-11,49.0,40.526763916015625,41.12971115112305,0.014877754275098853
2008-08-22,2008-08-25,3.0,40.90576934814453,40.04441452026367,-0.021057049937136307
2008-08-26,2008-08-29,3.0,39.992733001708984,39.72571563720703,-0.006676647092124011
2008-09-02,2009-05-01,241.0,39.23472213745117,29.716821670532227,-0.2425887058298729
2009-05-14,2009-05-19,5.0,28.86948585510254,29.742759704589844,0.030249026736060003
2010-05-21,2010-05-24,3.0,38.9609489440918,38.80455780029297,-0.004014048631701628
2010-05-27,2010-05-28,1.0,39.85591125488281,39.62130355834961,-0.005886396500455415
2010-06-08,2010-06-11,3.0,38.396183013916016,39.53441619873047,0.029644435864937924
2010-06-30,2010-07-14,14.0,37.2536735534668,39.73957061767578,0.06672891092582334
2010-07-19,2010-07-21,2.0,39.006866455078125,38.937095642089844,-0.0017886802844989669
2010-07-22,2010-07-23,1.0,39.9227409362793,40.17570495605469,0.006336338984819445
2010-08-12,2010-09-07,26.0,39.28599548339844,39.861698150634766,0.014654144820629877
2011-06-16,2011-06-22,6.0,47.442161560058594,48.20797348022461,0.016142011556462332
2011-06-27,2011-06-28,1.0,48.57724380493164,49.29821014404297,0.014841647706618888
2011-08-05,2011-09-16,42.0,47.3287467956543,49.847686767578125,0.05322219882135393
2011-09-22,2011-10-12,20.0,47.19629669189453,49.85649490356445,0.056364553961429475
2011-11-18,2011-12-01,13.0,48.79947280883789,50.01502990722656,0.024909226030993548
2011-12-09,2011-12-12,3.0,50.22645568847656,49.6627082824707,-0.011224112836120348
2011-12-14,2011-12-21,7.0,48.350223541259766,48.70487976074219,0.0073351515982087445
2011-12-22,2011-12-27,5.0,49.120121002197266,49.72896957397461,0.012395095112858412
2011-12-29,2011-12-30,1.0,49.50790023803711,49.36643600463867,-0.0028574072565846764
2012-01-03,2012-01-04,1.0,50.31256866455078,50.524776458740234,0.0042177889108445665
2012-11-08,2012-11-29,21.0,56.23111343383789,58.67942810058594,0.043540213188713706
2012-12-06,2012-12-12,6.0,58.15415573120117,58.60820770263672,0.007807730431755422
2012-12-14,2012-12-18,4.0,57.5932731628418,59.249237060546875,0.02875273112231236
2012-12-26,2013-01-02,7.0,57.74393844604492,60.16112518310547,0.041860441149491834
2015-08-24,2015-09-17,24.0,90.96216583251953,98.97193908691406,0.08805609652195634
2015-09-21,2015-10-12,21.0,97.86990356445312,98.89788055419922,0.010503504676175668
2015-10-14,2015-10-16,2.0,98.10142517089844,100.12958526611328,0.020674114485917716
2016-01-07,2016-03-17,70.0,97.4163589477539,99.87800598144531,0.025269339362310017
2016-03-29,2016-03-30,1.0,101.3947982788086,101.88858795166016,0.004869970464301154
2016-04-29,2016-05-11,12.0,98.49726867675781,99.0935287475586,0.006053569594478336
2016-05-12,2016-05-25,13.0,98.65567779541016,101.77677154541016,0.03163623036955321
2016-06-20,2016-06-21,1.0,100.10482788085938,100.42243194580078,0.0031727147597657712
2016-06-27,2016-07-01,4.0,95.49005889892578,100.9642333984375,0.05732716643630953
2018-10-12,2018-10-15,3.0,166.14707946777344,164.13597106933594,-0.012104386095017627
2018-10-25,2018-11-02,8.0,163.03994750976562,161.43870544433594,-0.009821164014627626
2018-11-05,2018-11-08,3.0,161.03834533691406,166.280517578125,0.0325523230522744
2018-11-12,2018-12-04,22.0,158.53167724609375,157.95025634765625,-0.0036675376715716856
2018-12-06,2019-02-06,62.0,159.06546020507812,162.99021911621094,0.02467386009554029
2019-02-07,2019-02-15,8.0,160.8013458251953,164.34756469726562,0.02205341537331007
2019-03-08,2019-03-12,4.0,163.61151123046875,167.9319610595703,0.026406759503710076
2019-06-04,2019-06-05,1.0,167.49066162109375,168.7355194091797,0.007432401162174251
2020-03-10,2020-03-11,1.0,196.70477294921875,188.13729858398438,-0.043554989727911386
2020-03-12,2020-04-09,28.0,170.88670349121094,193.98516845703125,0.1351682986090741
2022-01-21,2022-02-02,12.0,342.502197265625,358.8633117675781,0.047769370919581
2022-02-04,2022-02-10,6.0,348.65704345703125,349.06610107421875,0.0011732377844186903
2022-02-11,2022-03-30,47.0,337.9931335449219,357.9417724609375,0.059020840769134386
2022-03-31,2022-04-05,5.0,353.5052185058594,352.1011047363281,-0.003971974658439126
2022-04-06,2023-01-27,296.0,344.4565124511719,290.6466064453125,-0.15621683452272417
2023-01-31,2023-02-01,1.0,289.03765869140625,295.2182922363281,0.021383488826003383
2023-03-13,2023-03-14,1.0,285.1821594238281,291.7355651855469,0.022979718559390294
2025-03-07,2025-03-26,19.0,488.6922302246094,482.04669189453125,-0.013598616714294298
2025-03-27,2025-05-13,47.0,479.3000183105469,513.1063842773438,0.07053278672084917
2026-03-23,,,588.0,,
