date,event,price,cash_deployed,cash_proceeds
1999-12-21,buy_above_sma200,75.44601440429688,10000.0,
2000-01-03,monthly_dca_invest,79.92742156982422,1000.0,
2000-02-01,monthly_dca_invest,77.68670654296875,1000.0,
2000-03-01,monthly_dca_invest,90.78827667236328,1000.0,
2000-04-03,monthly_dca_invest,86.83405303955078,1000.0,
2000-05-01,monthly_dca_invest,80.66551208496094,1000.0,
2000-05-11,sell_below_sma200,71.3863754272461,,13759.061536958108
2000-05-12,buy_above_sma200,71.3863754272461,13759.061536958108,
2000-05-22,sell_below_sma200,68.85569763183594,,13263.336481651962
2000-05-31,buy_above_sma200,70.1209716796875,13263.336481651962,
2000-06-01,sell_below_sma200,73.70616912841797,,13933.111886511319
2000-06-02,buy_above_sma200,78.9784164428711,14933.111886511319,
2000-07-03,monthly_dca_invest,80.34920501708984,1000.0,
2000-07-31,sell_below_sma200,75.44601440429688,,15195.06770574525
2000-08-08,buy_above_sma200,79.40018463134766,16195.06770574525,
2000-08-11,sell_below_sma200,76.81676483154297,,15658.735623773136
2000-08-15,buy_above_sma200,78.45117950439453,15658.735623773136,
2000-09-01,monthly_dca_invest,86.5704574584961,1000.0,
2000-09-12,sell_below_sma200,77.08040618896484,,16265.746702676628
2001-12-06,buy_above_sma200,36.197208404541016,31265.746702676628,
2001-12-14,sell_below_sma200,33.83522415161133,,29208.026109911032
2001-12-18,buy_above_sma200,34.80532455444336,29208.026109911032,
2001-12-21,sell_below_sma200,33.30380630493164,,27931.21421888003
2001-12-31,buy_above_sma200,32.822967529296875,27931.21421888003,
2002-01-02,sell_below_sma200,33.83522415161133,,28775.339335259112
2002-01-04,buy_above_sma200,35.15119934082031,29775.339335259112,
2002-01-15,sell_below_sma200,34.029239654541016,,28807.67712216139
2002-01-16,buy_above_sma200,32.71330261230469,28807.67712216139,
2002-01-17,sell_below_sma200,33.44719696044922,,29436.285105308252
2002-12-03,buy_above_sma200,22.919553756713867,40436.285105308256,
2002-12-04,sell_below_sma200,22.413415908813477,,39519.602319028745
2003-01-08,buy_above_sma200,21.84823226928711,40519.602319028745,
2003-01-09,sell_below_sma200,22.523075103759766,,41746.106667119435
2003-01-10,buy_above_sma200,22.860502243041992,41746.106667119435,
2003-01-21,sell_below_sma200,21.11432647705078,,38534.2460986421
2003-03-03,buy_above_sma200,20.793787002563477,40534.2460986421,
2003-03-04,sell_below_sma200,20.667251586914062,,40263.419730737216
2003-03-14,buy_above_sma200,21.696392059326172,40263.419730737216,
2003-04-01,monthly_dca_invest,21.4686279296875,1000.0,
2003-05-01,monthly_dca_invest,23.358213424682617,1000.0,
2003-06-02,monthly_dca_invest,24.952537536621094,1000.0,
2003-07-01,monthly_dca_invest,25.602073669433594,1000.0,
2003-08-01,monthly_dca_invest,26.53844451904297,1000.0,
2003-09-02,monthly_dca_invest,28.571413040161133,1000.0,
2003-10-01,monthly_dca_invest,27.964054107666016,1000.0,
2003-11-03,monthly_dca_invest,30.165739059448242,1000.0,
2003-12-01,monthly_dca_invest,30.283849716186523,1000.0,
2004-01-02,monthly_dca_invest,30.683866500854492,1000.0,
2004-02-02,monthly_dca_invest,31.198631286621094,1000.0,
2004-03-01,monthly_dca_invest,31.26614761352539,1000.0,
2004-03-24,sell_below_sma200,29.046720504760742,,66637.66015546786
