date,strategy,event,regime,value_before,reserve_cash,amount,window
2005-12-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,44882.48516840764,0.0,,full_walkforward_window
2007-09-05,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,77017.39764703845,0.0,,full_walkforward_window
2007-11-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,neutral,87267.73296346924,0.0,2000.0,full_walkforward_window
2008-02-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,74917.46375038035,0.0,,full_walkforward_window
2008-03-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,72522.78520046224,0.0,,full_walkforward_window
2008-06-03,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,neutral,86100.15568359989,0.0,3000.0,full_walkforward_window
2008-06-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,87203.28357333357,0.0,,full_walkforward_window
2008-06-09,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,85468.37150855197,0.0,,full_walkforward_window
2008-06-12,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,83102.48206904125,0.0,,full_walkforward_window
2008-08-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,79876.15893825673,0.0,,full_walkforward_window
2009-05-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,72251.29366243936,9000.0,,full_walkforward_window
2009-05-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,risk_on,72251.29366243936,0.0,9000.0,full_walkforward_window
2009-12-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,117183.33745681036,0.0,,full_walkforward_window
2009-12-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,risk_off,117183.33745681036,0.0,,full_walkforward_window
2010-02-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,118225.3172113445,2000.0,,full_walkforward_window
2010-02-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,risk_on,118225.3172113445,0.0,2000.0,full_walkforward_window
2011-10-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,166486.33752518936,0.0,,full_walkforward_window
2011-12-16,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,177410.6208923804,0.0,,full_walkforward_window
2011-12-21,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,178786.79722003362,0.0,,full_walkforward_window
2012-01-03,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,184632.8832095496,0.0,,full_walkforward_window
2012-01-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,187101.67743471192,0.0,,full_walkforward_window
2012-01-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,risk_off,187101.67743471192,0.0,,full_walkforward_window
2012-02-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,201368.49101520664,1000.0,,full_walkforward_window
2012-02-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,risk_on,201368.49101520664,0.0,1000.0,full_walkforward_window
2012-05-18,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,197410.2097059462,0.0,,full_walkforward_window
2012-05-22,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,202640.96575499428,0.0,,full_walkforward_window
2012-05-24,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,200605.32981066863,0.0,,full_walkforward_window
2012-06-08,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,203908.81007764328,0.0,,full_walkforward_window
2012-06-12,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,201665.48183105266,0.0,,full_walkforward_window
2012-06-15,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,203457.18648675026,0.0,,full_walkforward_window
2012-08-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,211953.42461788782,0.0,,full_walkforward_window
2012-08-16,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,223869.86094966214,0.0,,full_walkforward_window
2012-12-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,208799.0617466712,0.0,,full_walkforward_window
2012-12-31,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,208299.91436465998,0.0,,full_walkforward_window
2013-01-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,221428.47713759806,0.0,,full_walkforward_window
2013-02-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,220961.3637003068,0.0,,full_walkforward_window
2014-11-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,504275.5391399097,0.0,,full_walkforward_window
2015-04-24,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,558386.9563163582,0.0,,full_walkforward_window
2015-05-06,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,519831.6374238821,0.0,,full_walkforward_window
2015-05-07,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,522792.46688971895,0.0,,full_walkforward_window
2015-05-12,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,526388.4577635999,0.0,,full_walkforward_window
2015-05-13,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,527304.525396032,0.0,,full_walkforward_window
2015-06-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,546608.0415882409,0.0,,full_walkforward_window
2015-06-11,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,544358.9800050851,0.0,,full_walkforward_window
2015-06-25,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,548754.1206840664,0.0,,full_walkforward_window
2015-07-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,539365.5134202942,0.0,,full_walkforward_window
2015-08-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,571370.6699378181,0.0,,full_walkforward_window
2015-10-28,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,588353.9050333897,0.0,,full_walkforward_window
