date,strategy,event,regime,value_before,reserve_cash,amount,window
2005-12-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,neutral,3155.5048521513577,0.0,,full_walkforward_window
2007-09-05,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,6130.1132191174775,14.285714285714286,,full_walkforward_window
2007-11-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,neutral,6986.789387496807,0.0,199.99999999999997,full_walkforward_window
2008-02-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,6050.480607215802,0.0,,full_walkforward_window
2008-02-19,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,neutral,5930.466842479387,0.0,42.85714285714286,full_walkforward_window
2008-03-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,5874.1594474591175,0.0,,full_walkforward_window
2008-06-03,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,neutral,7030.899306264248,0.0,299.99999999999994,full_walkforward_window
2008-06-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,7120.963506784163,0.0,,full_walkforward_window
2008-06-06,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,neutral,7030.785142067157,0.0,14.285714285714286,full_walkforward_window
2008-06-09,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,6993.497409975284,0.0,,full_walkforward_window
2008-06-11,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,neutral,6807.026887470525,0.0,14.285714285714286,full_walkforward_window
2008-06-12,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,6814.203675107535,0.0,,full_walkforward_window
2008-06-17,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,neutral,6989.434336137328,0.0,14.285714285714286,full_walkforward_window
2008-08-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,6555.485869593377,0.0,,full_walkforward_window
2009-05-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,6091.072872672016,900.0000000000011,,full_walkforward_window
2009-05-04,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,deploy_reserve,risk_on,6091.072872672016,0.0,900.0000000000011,full_walkforward_window
2009-12-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_off,risk_off,10034.697621483709,0.0,,full_walkforward_window
2009-12-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,cut_risk_on_leverage,risk_off,10034.697621483709,0.0,,full_walkforward_window
2010-02-02,walkforward_gmm_riskon_2x_keep_long_riskoff_reserve_dca,enter_risk_on_2x,risk_on,10152.659989793518,199.99999999999997,,full_walkforward_window
