risk_off_threshold,jump_in_threshold,risk_on_leverage,start_date,end_date,final_value,xirr,time_weighted_cagr,max_drawdown,avg_target_leverage,risk_on_months,neutral_months,risk_off_months
0.45,0.6,2,2009-01-02,2026-04-07,1135826.2829765652,0.286667462670449,0.2922898114661303,-0.5198996595044487,1.5855793595945635,122,61,25
0.5,0.6,2,2009-01-02,2026-04-07,1135823.6879648003,0.2866672796189389,0.29228964033323535,-0.5198996595044487,1.5855793595945635,122,62,24
0.4,0.5,2,2009-01-02,2026-04-07,1125668.1781907422,0.28594780501156813,0.2910651071591903,-0.5199146791002494,1.6664363049988482,139,42,27
0.45,0.5,2,2009-01-02,2026-04-07,1114118.6632983831,0.28512192403859826,0.2904197279983105,-0.5199216618442212,1.6758811333794057,141,42,25
0.5,0.5,2,2009-01-02,2026-04-07,1114116.0682866191,0.28512173754837394,0.29041955378216944,-0.5199216618442212,1.6758811333794057,141,43,24
0.4,0.6,2,2009-01-02,2026-04-07,1093193.7181184976,0.2836043685694146,0.289290637900804,-0.5198918174833354,1.580511402902557,121,60,27
0.45,0.55,2,2009-01-02,2026-04-07,1039309.3396889828,0.27956357939206555,0.2857214219983457,-0.5199147069327739,1.632342778161714,132,51,25
0.5,0.55,2,2009-01-02,2026-04-07,1039306.7446772183,0.2795633799660235,0.2857212359167034,-0.5199147069327739,1.632342778161714,132,52,24
0.4,0.55,2,2009-01-02,2026-04-07,1000261.2086729737,0.27650692998976467,0.2827375633018885,-0.5199074536181406,1.6272748214697075,131,50,27
0.45,0.6,3,2009-01-02,2026-04-07,2539633.136293012,0.35214918042880317,0.35979696599192046,-0.6984382090769716,2.171158719189127,122,61,25
0.5,0.6,3,2009-01-02,2026-04-07,2539630.7187544606,0.35214910167412,0.3597968909810805,-0.6984382090769716,2.171158719189127,122,62,24
0.4,0.5,3,2009-01-02,2026-04-07,2377682.2283683987,0.34670543288750133,0.3535927109117927,-0.6984468655103211,2.3328726099976964,139,42,27
0.4,0.6,3,2009-01-02,2026-04-07,2351458.6801741156,0.3457907290026103,0.3535740743233753,-0.6984324825550634,2.161022805805114,121,60,27
0.45,0.5,3,2009-01-02,2026-04-07,2322645.115154684,0.34477435493570596,0.3519095787304043,-0.6984515249770153,2.3517622667588114,141,42,25
0.5,0.5,3,2009-01-02,2026-04-07,2322642.6976161306,0.34477426915416665,0.3519094971862933,-0.6984515249770153,2.3517622667588114,141,43,24
0.45,0.55,3,2009-01-02,2026-04-07,2067665.6138133116,0.3352142014819556,0.3437399850476679,-0.6984479769466654,2.264685556323428,132,51,25
0.5,0.55,3,2009-01-02,2026-04-07,2067663.1962747555,0.3352141055930974,0.34373989399919536,-0.6984479769466654,2.264685556323428,132,52,24
0.4,0.55,3,2009-01-02,2026-04-07,1914311.4986800333,0.3289043320286985,0.33759061667697354,-0.6984430333737188,2.254549642939415,131,50,27
