feature,feature_label,logistic_coef,logistic_abs_coef,logistic_driver,random_forest_permutation_importance,random_forest_importance_std
vix_level,VIX level,2.2198220095334307,2.2198220095334307,Higher reading raises event odds,0.01635452961672479,0.026787475863436425
qqq_drawdown_252d,QQQ 1-year drawdown,0.6462924780844463,0.6462924780844463,Higher reading raises event odds,0.01935975609756102,0.01050949704744319
nfci_level,Financial conditions level,-0.6251537530495239,0.6251537530495239,Higher reading lowers event odds,0.010953832752613291,0.007412215102348031
qqq_vs_sma200,QQQ vs 200-day trend,-0.2499207801983885,0.2499207801983885,Higher reading lowers event odds,0.032251742160278804,0.01520307811217949
qqq_sma222,QQQ 222-day trend level,-0.9492670057387887,0.9492670057387887,Higher reading lowers event odds,0.0,0.0
cpi_yoy_pct,Inflation YoY,-0.17520282883282765,0.17520282883282765,Higher reading lowers event odds,0.029137630662020964,0.02061347239564337
hy_oas_63d_change_pp,High-yield spread 3-month change,-0.9259146585122751,0.9259146585122751,Higher reading lowers event odds,-0.003702090592334439,0.005607314106961552
qqq_sma65,QQQ 65-day trend level,0.6298281726650394,0.6298281726650394,Higher reading raises event odds,0.0,0.0
qqq_realized_vol_21d,QQQ 1-month realized volatility,-0.5581139136105665,0.5581139136105665,Higher reading lowers event odds,0.0089503484320558,0.012530749701453101
unemployment_rate_pct,Unemployment rate,-0.6121522072397828,0.6121522072397828,Higher reading lowers event odds,0.0006750871080139553,0.002932950889298179
qqq_63d_return,QQQ 3-month return,-0.2463411045801421,0.2463411045801421,Higher reading lowers event odds,0.005749128919860691,0.00817215242880346
qqq_21d_return,QQQ 1-month return,-0.055225720146261634,0.055225720146261634,Higher reading lowers event odds,0.013196864111498308,0.007738776165092559
dxy_63d_return,US dollar 3-month return,-0.06472667739127534,0.06472667739127534,Higher reading lowers event odds,0.009102787456446038,0.003599205738872657
us10y_level,10Y Treasury yield level,-0.6088130948549408,0.6088130948549408,Higher reading lowers event odds,-0.010627177700348368,0.006415018810610929
t10y3m_level,10Y-3M curve,-0.5550425477812793,0.5550425477812793,Higher reading lowers event odds,-0.0011541811846689453,0.0018389644715632333
latent_sentiment_index,Latent sentiment,0.2137680089787076,0.2137680089787076,Higher reading raises event odds,0.0029834494773519626,0.0028067000974881014
