feature,feature_label,logistic_coef,logistic_abs_coef,logistic_driver,random_forest_permutation_importance,random_forest_importance_std
market_cap_to_gdp_252d_drift,Market cap to GDP 1-year drift,-0.8713995129741985,0.8713995129741985,Higher reading lowers event odds,0.0462080173347779,0.02576185676250454
vix_level,VIX level,-1.4708120620002254,1.4708120620002254,Higher reading lowers event odds,0.003385698808234,0.0032133831304725453
cpi_yoy_pct,Inflation YoY,0.36900030014829033,0.36900030014829033,Higher reading raises event odds,0.026029252437703126,0.027908661730139176
hy_oas_63d_change_pp,High-yield spread 3-month change,1.0979978490597806,1.0979978490597806,Higher reading raises event odds,0.0024377031419284766,0.004253386455569575
qqq_realized_vol_21d,QQQ 1-month realized volatility,0.4961010375060183,0.4961010375060183,Higher reading raises event odds,0.01565547128927409,0.013728841260052376
qqq_sma222,QQQ 222-day trend level,1.0223843088878517,1.0223843088878517,Higher reading raises event odds,0.0,0.0
latent_sentiment_index,Latent sentiment,-0.7070055611648253,0.7070055611648253,Higher reading lowers event odds,0.0026543878656554664,0.004577064096779762
cape_level,Shiller CAPE,-0.15361811927223407,0.15361811927223407,Higher reading lowers event odds,0.029577464788732365,0.012146188694076795
us10y_level,10Y Treasury yield level,1.7875098242273997,1.7875098242273997,Higher reading raises event odds,-0.022264355362946953,0.022018369449265836
hy_oas_level,High-yield spread,1.1099013212236768,1.1099013212236768,Higher reading raises event odds,-0.007258938244853757,0.011620191824519926
unemployment_rate_pct,Unemployment rate,0.24416771080379943,0.24416771080379943,Higher reading raises event odds,0.007177681473456127,0.004009673821714624
us10y_63d_change_pp,10Y yield 3-month change,0.20894750841260418,0.20894750841260418,Higher reading raises event odds,0.008071505958829894,0.010456441224118694
cpi_yoy_3m_change_pp,Inflation 3-month change,-0.12535496871825194,0.12535496871825194,Higher reading lowers event odds,0.016549295774647886,0.0053420448027149195
t10y3m_level,10Y-3M curve,0.6283579178079387,0.6283579178079387,Higher reading raises event odds,-0.001950162513542797,0.002189748963316129
nfci_63d_change,Financial conditions 3-month change,-0.6206485132085935,0.6206485132085935,Higher reading lowers event odds,-0.0016793066088841013,0.005265762020316482
dxy_63d_return,US dollar 3-month return,-0.17861138926519082,0.17861138926519082,Higher reading lowers event odds,0.004144095341278414,0.004000148337075963
nfci_level,Financial conditions level,0.5461119924441292,0.5461119924441292,Higher reading raises event odds,-0.016061755146262208,0.006318029676525795
qqq_21d_return,QQQ 1-month return,-0.13844619020290116,0.13844619020290116,Higher reading lowers event odds,0.0032502708559046466,0.0026092295945378606
