feature,feature_label,ridge_coef,signed_abs_coef,signed_driver,random_forest_permutation_importance,random_forest_importance_std
vix_level,VIX level,0.1666054416636662,0.1666054416636662,Higher reading lifts forward return,0.0009389367006354219,0.0012144451086898585
qqq_sma65,QQQ 65-day trend level,0.4949045793794413,0.4949045793794413,Higher reading lifts forward return,5.551115123125783e-18,6.798699777552592e-18
qqq_drawdown_252d,QQQ 1-year drawdown,0.05520380513628398,0.05520380513628398,Higher reading lifts forward return,0.0006060302388701602,0.0003268026714600564
cape_level,Shiller CAPE,-0.07380218427514995,0.07380218427514995,Higher reading hurts forward return,0.0004450025246968345,0.00018545823261740095
cpi_yoy_pct,Inflation YoY,-0.03662083455536558,0.03662083455536558,Higher reading hurts forward return,0.001583196092743725,0.0009767218858048317
qqq_sma222,QQQ 222-day trend level,-0.47635806992731045,0.47635806992731045,Higher reading hurts forward return,2.0816681711721684e-18,4.955361418800576e-18
copper_gold_ratio_level,copper gold ratio level,-0.08324909740952346,0.08324909740952346,Higher reading hurts forward return,0.00021123021784079653,0.00013435673825413125
qqq_vs_sma200,QQQ vs 200-day trend,-0.14624801830158463,0.14624801830158463,Higher reading hurts forward return,9.980833935047603e-05,0.0001500178669409213
qqq_realized_vol_21d,QQQ 1-month realized volatility,-0.041393273548246956,0.041393273548246956,Higher reading hurts forward return,0.0004453629573802083,0.0003982364427371042
hy_oas_level,High-yield spread,-0.2244290451168638,0.2244290451168638,Higher reading hurts forward return,-8.304858803933335e-05,0.00016972474281069916
unemployment_rate_pct,Unemployment rate,-0.04901201284303314,0.04901201284303314,Higher reading hurts forward return,0.00036563153651007833,0.0003305408656038977
t10y3m_level,10Y-3M curve,-0.1240250391604647,0.1240250391604647,Higher reading hurts forward return,-0.0014357511565252223,0.0005366539183497841
curve_10y2y_level,Yield curve 10Y-2Y,0.12110857680688913,0.12110857680688913,Higher reading lifts forward return,-0.0011335321084628535,0.00044233151489961905
qqq_feedback_score,QQQ feedback,-0.009206404205579943,0.009206404205579943,Higher reading hurts forward return,0.0001941481751922984,0.0001343018826671358
dxy_63d_return,US dollar 3-month return,0.0053139622831857025,0.0053139622831857025,Higher reading lifts forward return,0.00019058723017988734,7.245386735736389e-05
sector_rotation_63d_change,sector rotation 63d change,3.138495293941723e-05,3.138495293941723e-05,Higher reading lifts forward return,0.00015248608070397366,9.09751916948244e-05
