feature,feature_label,ridge_coef,signed_abs_coef,signed_driver,random_forest_permutation_importance,random_forest_importance_std
vix_level,VIX level,0.16660535292627454,0.16660535292627454,Higher reading lifts forward return,0.0009322720135628265,0.0012130904765399685
cape_level,Shiller CAPE,-0.07380203295852539,0.07380203295852539,Higher reading hurts forward return,0.0004564647601897745,0.00019023594533987796
qqq_drawdown_252d,QQQ 1-year drawdown,0.05520358035817963,0.05520358035817963,Higher reading lifts forward return,0.0006058135722366818,0.00032697273341893997
qqq_sma65,QQQ 65-day trend level,0.49490495283461833,0.49490495283461833,Higher reading lifts forward return,-1.3183898417423733e-17,3.0245937307082044e-18
qqq_sma222,QQQ 222-day trend level,-0.47635812718652026,0.47635812718652026,Higher reading hurts forward return,-1.2490009027033011e-17,4.163336342344337e-18
cpi_yoy_pct,Inflation YoY,-0.03662091376330956,0.03662091376330956,Higher reading hurts forward return,0.0015835527248462592,0.0009629129300530922
copper_gold_ratio_level,copper gold ratio level,-0.08324917156406597,0.08324917156406597,Higher reading hurts forward return,0.0002096776477403174,0.0001351561130888033
qqq_vs_sma200,QQQ vs 200-day trend,-0.14624796555131625,0.14624796555131625,Higher reading hurts forward return,9.587790843783168e-05,0.00014948448923942514
hy_oas_level,High-yield spread,-0.22442886358178926,0.22442886358178926,Higher reading hurts forward return,-8.503479097926453e-05,0.00016902865551191268
unemployment_rate_pct,Unemployment rate,-0.04901204658533098,0.04901204658533098,Higher reading hurts forward return,0.00036466288040302026,0.0003284452596642156
qqq_realized_vol_21d,QQQ 1-month realized volatility,-0.04139346697861779,0.04139346697861779,Higher reading hurts forward return,0.00043734601505085664,0.0003985554095341454
t10y3m_level,10Y-3M curve,-0.12402517240935484,0.12402517240935484,Higher reading hurts forward return,-0.0014365642519610796,0.0005358303143850801
curve_10y2y_level,Yield curve 10Y-2Y,0.12110871484757357,0.12110871484757357,Higher reading lifts forward return,-0.001132506819464675,0.0004431418237885822
qqq_feedback_score,QQQ feedback,-0.009206383648403482,0.009206383648403482,Higher reading hurts forward return,0.0001936879772804781,0.00013461067022959357
dxy_63d_return,US dollar 3-month return,0.005313857082472673,0.005313857082472673,Higher reading lifts forward return,0.00019074523807833046,7.245821058050724e-05
sector_rotation_63d_change,sector rotation 63d change,3.1281540228356164e-05,3.1281540228356164e-05,Higher reading lifts forward return,0.00015248960213565255,9.097485728087697e-05
