strategy,direction,entry_date,exit_date,entry_price,exit_price,entry_equity,exit_equity,pnl_dollars,pnl_pct,entry_leverage,max_leverage_seen,units,bars_held,entry_rel_volume,entry_volume_confirmed,exit_reason
Turtle Fixed 3x,long,1999-12-23,2000-01-06,76.10502624511719,67.56398010253906,9991.0,6650.776096075414,-3340.223903924586,-0.3343232813456697,3.0,3.0,1,9,0.9049296682777368,False,atr_stop
Turtle Fixed 3x,long,2000-02-07,2000-04-13,83.09077453613281,74.23336791992188,6644.790397588946,4018.180898929621,-2626.609498659325,-0.3952885405704275,3.0,3.0,1,47,0.6846057186028046,False,donchian_exit
Turtle Fixed 3x,long,2000-07-14,2000-07-27,84.88333892822266,77.50220489501953,4014.5645361205843,2989.88116539055,-1024.6833707300343,-0.25524147426465893,3.0,3.0,1,9,0.7668357371264969,False,atr_stop
Turtle Fixed 3x,long,2000-09-01,2000-09-06,86.5704574584961,80.98184967041016,2987.1902723416983,2423.33526166126,-563.8550106804382,-0.18875764824931118,3.0,3.0,1,2,0.7874871917700512,False,atr_stop
Turtle Fixed 3x,long,2001-12-05,2001-12-13,36.146610260009766,33.53999710083008,2421.154259925765,1907.9519674719356,-513.2022924538294,-0.21196596224709974,3.0,3.0,1,6,1.3362320844496618,True,atr_stop
Turtle Fixed 3x,long,2003-04-22,2003-08-05,23.138885498046875,25.483972549438477,1906.2348107012108,2338.37555036985,432.14073966863907,0.22669858783539665,3.0,3.0,1,73,0.9714319938946735,False,donchian_exit
Turtle Fixed 3x,long,2003-08-29,2003-09-30,28.166500091552734,27.3482608795166,2336.271012374517,2080.3953236451907,-255.87568872932616,-0.10952311926742675,3.0,3.0,1,21,0.7098994744955677,False,donchian_exit
Turtle Fixed 3x,long,2003-12-29,2004-02-04,30.75139617919922,30.658538818359375,2078.52296785391,2020.1318238632625,-58.39114399064738,-0.0280926142716319,3.0,3.0,1,25,0.7871842687013969,False,donchian_exit
Turtle Fixed 3x,long,2004-06-30,2004-07-06,31.848432540893555,30.405380249023438,2018.3137052217855,1747.5680487939358,-270.7456564278498,-0.134144486918647,3.0,3.0,1,3,0.9443521411648085,False,atr_stop
Turtle Fixed 3x,long,2004-10-01,2004-10-08,30.46445655822754,30.0256290435791,1745.9952375500213,1663.5723579472467,-82.42287960277463,-0.047206818111617754,3.0,3.0,1,5,1.2749591132913043,True,sma_break
Turtle Fixed 3x,long,2004-10-28,2005-01-04,31.19020652770996,33.039527893066406,1662.0751428250942,1917.7183916037793,255.64324877868512,0.15380968175972987,3.0,3.0,1,46,1.1116121021106582,False,donchian_exit
Turtle Fixed 3x,long,2005-05-26,2005-06-24,32.53684997558594,31.52655601501465,1915.9924450513358,1721.5087946622382,-194.48365038909765,-0.10150543698197456,3.0,3.0,1,20,0.8193790372456159,False,donchian_exit
Turtle Fixed 3x,long,2005-07-14,2005-08-16,33.06155014038086,33.09565734863281,1719.9594367470422,1700.3284024105567,-19.631034336485527,-0.011413661227740124,3.0,3.0,1,23,1.135812271410866,False,donchian_exit
Turtle Fixed 3x,long,2005-11-03,2005-12-19,34.05925750732422,34.979148864746094,1698.798106848387,1806.6151534432006,107.81704659481352,0.0634666627895153,3.0,3.0,1,31,1.4176527107718084,False,donchian_exit
Turtle Fixed 3x,long,2006-01-06,2006-01-20,36.4836311340332,35.261234283447266,1804.9891998051016,1615.3313025465775,-189.65789725852414,-0.1050742560005361,3.0,3.0,1,9,1.4989943269059334,True,atr_stop
Turtle Fixed 3x,long,2006-09-26,2006-12-22,34.9189338684082,36.81373596191406,1613.8775043742855,1816.3892228167674,202.51171844248188,0.12548146801327253,3.0,3.0,1,62,1.0806310432511768,False,donchian_exit
Turtle Fixed 3x,long,2007-01-11,2007-01-22,38.65744400024414,37.46547317504883,1814.7544725162322,1643.273880411073,-171.4805921051593,-0.09449244771244147,3.0,3.0,1,6,1.6785137145689597,True,atr_stop
Turtle Fixed 3x,long,2007-02-22,2007-02-27,38.948997497558594,37.03671646118164,1641.794933918703,1400.3059439479937,-241.48898997070933,-0.14708840000761458,3.0,3.0,1,3,1.0126610263476226,False,donchian_exit
Turtle Fixed 3x,long,2007-04-24,2007-07-31,39.21379089355469,40.81594467163086,1399.0456685984404,1507.495882556065,108.45021395762456,0.07751727937964281,3.0,3.0,1,68,0.8905115652920623,False,donchian_exit
Turtle Fixed 3x,long,2007-09-25,2007-11-08,43.878700256347656,44.44575119018555,1506.1391362617646,1516.2597264746112,10.120590212846537,0.006719558617914734,3.0,3.0,1,32,0.6858142028996862,False,donchian_exit
Turtle Fixed 3x,long,2008-05-01,2008-05-07,41.91876983642578,41.35066604614258,1514.895092720784,1448.5431565162378,-66.35193620454629,-0.04379969050224908,3.0,3.0,1,4,1.006942195887513,False,sma_break
Turtle Fixed 3x,long,2008-05-15,2008-06-11,43.011932373046875,40.77396774291992,1447.2394676753731,1209.8994195081436,-237.3400481672295,-0.16399500806073009,3.0,3.0,1,18,1.2925735131668439,True,donchian_exit
Turtle Fixed 3x,long,2009-05-04,2009-05-13,30.304758071899414,28.549591064453125,1208.8105100305863,1002.033232209777,-206.77727782080933,-0.1710584712037102,3.0,3.0,1,7,0.771607834382914,False,atr_stop
Turtle Fixed 3x,long,2009-05-29,2009-07-07,30.590072631835938,29.891862869262695,1001.1314023007882,910.1556773613551,-90.97572493943312,-0.0908729111187141,3.0,3.0,1,26,0.7946723974962936,False,donchian_exit
Turtle Fixed 3x,long,2009-07-16,2010-01-22,32.341739654541016,38.32918930053711,909.3365372517299,1366.85010320755,457.51356595582024,0.5031289816403448,3.0,3.0,1,131,1.0199313305238407,False,donchian_exit
Turtle Fixed 3x,long,2010-03-09,2010-05-06,40.6119384765625,40.464134216308594,1365.6199381146632,1307.5257711932225,-58.094166921440774,-0.04254050874626503,3.0,3.0,1,41,0.8876749425422388,False,donchian_exit
Turtle Fixed 3x,long,2010-09-13,2011-03-15,41.21367263793945,48.61050796508789,1306.3489979991487,1965.5323869829385,659.1833889837899,0.5045997585587152,3.0,3.0,1,127,0.9199407830020098,False,donchian_exit
Turtle Fixed 3x,long,2011-04-27,2011-05-16,51.951290130615234,50.35466003417969,1963.763407834654,1772.6645573019418,-191.09885053271205,-0.09731256309711334,3.0,3.0,1,13,0.8644648536871936,False,atr_stop
Turtle Fixed 3x,long,2011-07-22,2011-08-01,52.401878356933594,50.757728576660156,1771.06915920037,1600.1498866997429,-170.91927250062713,-0.09650626663150552,3.0,3.0,1,6,0.7819448054567129,False,atr_stop
Turtle Fixed 3x,long,2011-10-24,2011-11-17,51.52130889892578,49.17823028564453,1598.709751801713,1355.3315085239683,-243.3782432777448,-0.1522341644588472,3.0,3.0,1,18,0.7901257014070105,False,sma_break
Turtle Fixed 3x,long,2012-01-18,2012-04-16,52.60271453857422,57.970951080322266,1354.1117101662967,1744.8728156329387,390.761105466642,0.2885737583782162,3.0,3.0,1,61,1.0343461851173081,False,donchian_exit
Turtle Fixed 3x,long,2012-08-03,2012-10-09,58.23736572265625,59.881324768066406,1743.302430098869,1841.9295971058875,98.62716700701844,0.05657490364504625,3.0,3.0,1,46,1.0186655624798346,False,donchian_exit
Turtle Fixed 3x,long,2013-01-23,2013-04-18,60.510276794433594,60.273460388183594,1840.2718604684922,1747.8377853304794,-92.43407513801276,-0.0502284891290361,3.0,3.0,1,59,0.8602926141561111,False,donchian_exit
Turtle Fixed 3x,long,2013-04-29,2013-06-05,63.001312255859375,64.65238189697266,1746.2647313236819,1858.4773835963704,112.2126522726885,0.06425867181525824,3.0,3.0,1,26,0.9510727953352258,False,donchian_exit
Turtle Fixed 3x,long,2013-07-11,2013-10-08,67.48543548583984,69.71949005126953,1856.8047539511335,1973.2293551717694,116.42460122063585,0.06270158506051504,3.0,3.0,1,62,1.4117280598052158,True,donchian_exit
Turtle Fixed 3x,long,2013-10-14,2014-01-29,72.03987121582031,76.9242172241211,1971.4534487521148,2295.8233634307435,324.3699146786287,0.16453338773175052,3.0,3.0,1,73,1.1313783693838808,False,donchian_exit
Turtle Fixed 3x,long,2014-02-13,2014-03-24,81.18116760253906,80.41926574707031,2293.757122403656,2194.750554528429,-99.00656787522712,-0.04316349229314953,3.0,3.0,1,26,1.10162399301629,False,donchian_exit
Turtle Fixed 3x,long,2014-05-29,2014-09-25,83.22689819335938,89.54940032958984,2192.7752790293534,2605.304504813808,412.5292257844544,0.18813110022248303,3.0,3.0,1,83,0.7075439319606774,False,donchian_exit
Turtle Fixed 3x,long,2014-10-31,2014-12-15,92.90270233154297,93.0951156616211,2602.9597307594754,2574.7009553008697,-28.25877545860567,-0.010856401320646025,3.0,3.0,1,30,1.1315897149083918,False,donchian_exit
Turtle Fixed 3x,long,2015-02-12,2015-06-29,97.4791030883789,98.56546020507812,2572.383724441099,2502.949737954669,-69.4339864864296,-0.02699207969118822,3.0,3.0,1,94,0.5962920764906507,False,donchian_exit
Turtle Fixed 3x,long,2015-07-16,2015-08-20,103.41563415527344,98.9257583618164,2500.69708319051,2148.400974014562,-352.296109175948,-0.14087916187212557,3.0,3.0,1,25,1.1614428033529722,False,donchian_exit
Turtle Fixed 3x,long,2015-10-23,2016-01-06,104.44514465332031,100.56542205810547,2146.467413137949,1842.442627669589,-304.0247854683598,-0.1416395998408856,3.0,3.0,1,50,1.3496337495627788,False,atr_stop
Turtle Fixed 3x,long,2016-03-29,2016-04-27,101.3947982788086,100.23017883300781,1840.7844293046865,1753.0660480044266,-87.71838130025981,-0.04765271799555226,3.0,3.0,1,21,0.7870265215873882,False,donchian_exit
Turtle Fixed 3x,long,2016-07-11,2016-09-09,103.6265869140625,106.75605010986328,1751.4882885612226,1869.50868212659,118.02039356536739,0.06738291905012761,3.0,3.0,1,43,0.7891382016403544,False,donchian_exit
Turtle Fixed 3x,long,2016-09-21,2016-11-02,110.64776611328125,107.86637878417969,1867.826124312676,1700.476545351453,-167.34957896122296,-0.08959590873203171,3.0,3.0,1,30,1.5432732084688063,True,atr_stop
Turtle Fixed 3x,long,2016-12-13,2017-07-03,112.81108856201172,128.5347137451172,1698.9461164606369,2325.188373677971,626.2422572173341,0.36860630902289326,3.0,3.0,1,138,2.1280477485447475,False,donchian_exit
Turtle Fixed 3x,long,2017-07-19,2018-02-05,135.8868408203125,149.8714599609375,2323.095704141661,2857.9945707559523,534.8988666142914,0.23025261751406245,3.0,3.0,1,138,0.8644185334326941,False,donchian_exit
Turtle Fixed 3x,long,2018-03-09,2018-03-22,164.12689208984375,154.55767822265625,2855.422375642272,2362.9396276761886,-492.4827479660835,-0.1724728194914803,3.0,3.0,1,9,0.7742297817715019,False,atr_stop
Turtle Fixed 3x,long,2018-06-01,2018-10-10,163.99441528320312,163.6785125732422,2360.81298201128,2200.9214419653895,-159.89154004589045,-0.06772732158973127,3.0,3.0,1,91,1.2477963428298076,False,donchian_exit
Turtle Fixed 3x,long,2019-02-25,2019-03-07,165.85772705078125,163.86004638671875,2198.940612667621,2109.5699890652686,-89.37062360235223,-0.040642581744821715,3.0,3.0,1,8,0.7761445652796767,False,sma_break
Turtle Fixed 3x,long,2019-03-13,2019-05-13,169.19361877441406,171.0049285888672,2107.67137607511,2111.2835065536706,3.61213047856063,0.0017138015534883255,3.0,3.0,1,42,1.2987286105632494,False,donchian_exit
Turtle Fixed 3x,long,2019-07-03,2019-08-02,183.72476196289062,179.79965209960938,2109.3833513977725,1950.418865182677,-158.96448621509535,-0.07536064324664282,3.0,3.0,1,21,0.42347135170893824,False,donchian_exit
Turtle Fixed 3x,long,2019-10-25,2020-02-25,188.1341552734375,207.5561981201172,1948.6634882040128,2468.198011258977,519.5345230549644,0.266610693021089,3.0,3.0,1,82,0.8026155135225457,False,donchian_exit
Turtle Fixed 3x,long,2020-05-20,2020-10-28,223.47021484375,262.7987060546875,2465.976633048844,3489.545859113235,1023.5692260643909,0.4150766119786331,3.0,3.0,1,112,0.7192017565921942,False,donchian_exit
Turtle Fixed 3x,long,2020-12-01,2021-03-03,293.58319091796875,299.6397705078125,3486.405267840033,3496.5632729739464,10.15800513391332,0.0029136042294379827,3.0,3.0,1,62,0.7043403113346791,False,donchian_exit
Turtle Fixed 3x,long,2021-04-13,2021-05-05,330.528564453125,319.30059814453125,3493.4163660282697,3111.416796226986,-381.99956980128354,-0.10934842279782009,3.0,3.0,1,16,0.49694393956504646,False,atr_stop
Turtle Fixed 3x,long,2021-06-14,2021-09-28,334.32293701171875,350.0213928222656,3108.616521110382,3406.1903061174903,297.5737850071082,0.09572547240430174,3.0,3.0,1,74,0.6801005155798171,False,donchian_exit
Turtle Fixed 3x,long,2021-10-28,2021-12-03,373.7051086425781,372.6448974609375,3403.1247348419847,3306.801451339745,-96.32328350223952,-0.028304364666995374,3.0,3.0,1,25,0.8761003335080024,False,donchian_exit
Turtle Fixed 3x,long,2023-01-27,2023-01-30,290.6466064453125,284.77001953125,3303.8253300335396,3099.191157977715,-204.63417205582437,-0.06193855655612002,3.0,3.0,1,1,1.1421155501163223,False,sma_break
Turtle Fixed 3x,long,2023-02-01,2023-03-10,295.2182922363281,283.0826416015625,3096.401885935535,2652.6368965466054,-443.76498938892973,-0.1433163412684243,3.0,3.0,1,26,1.3736218800918585,True,atr_stop
