strategy,start,end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,calmar,time_in_market_pct,avg_abs_leverage_active,max_abs_leverage,trades,win_rate_pct,profit_factor,final_vs_dca_pct,beats_dca_final,policy,fast_ma,slow_ma,threshold,hold_days,taper_phase_days,momentum_lookback,require_rvol_entry,min_entry_rvol,rvol_period,target_leveraged_days,avg_portfolio_leverage,max_target_leverage
MA60/220 momentum_return 20d DCA 5x,1999-03-10,2026-04-06,393992.8752408012,3839.9323781126545,14.532658869293424,-93.29182885652831,0.5252468834942478,0.586331712707561,0.1557763316189558,100.0,2.0788323387289624,4.999645531972713,0,,,291.34418074705707,True,momentum_return,60,220,1.0,0,0,20,False,0.0,40,4868,2.0788323387289624,5.0
MA60/220 taper 90d DCA 5x,1999-03-10,2026-04-06,302239.12033660023,2922.39398471016,13.416628972057287,-92.99715023417114,0.507580152159225,0.5670865409749358,0.14426924844765235,100.0,1.5413871924596048,4.998214257536562,0,,,200.20725848290465,True,taper,60,220,1.0,0,90,20,False,0.0,40,4746,1.5413871924596048,5.0
MA60/220 taper 60d DCA 5x,1999-03-10,2026-04-06,260857.9310003097,2508.581710538414,12.801498072775107,-92.95551277953842,0.499166271509589,0.554345206287618,0.1377163945417232,100.0,1.360327160517453,4.996323466903136,0,,,159.10426232021564,True,taper,60,220,1.0,0,60,20,False,0.0,40,3918,1.360327160517453,5.0
MA60/220 hold 90d DCA 5x,1999-03-10,2026-04-06,237012.63946224508,2270.1285757223673,12.402810521649087,-92.7888490331801,0.49121774574445937,0.5357697695987862,0.1336670370511224,100.0,1.2848188561182647,4.9973843880338595,0,,,135.4192754383202,True,hold,60,220,1.0,90,0,20,False,0.0,40,2898,1.2848188561182647,5.0
MA60/220 hold 60d DCA 5x,1999-03-10,2026-04-06,226697.14056840172,2166.9734918559425,12.218222376517375,-92.86621999214714,0.49055395068336116,0.5346098431920765,0.13156799509607,100.0,1.1592370384968145,4.995641657717996,0,,,125.17312451200966,True,hold,60,220,1.0,60,0,20,False,0.0,40,2538,1.1592370384968145,5.0
MA60/220 momentum_return 20d rvol1 DCA 5x,1999-03-10,2026-04-06,150944.9689567439,1409.4510786328487,10.545140420721033,-94.65830286558023,0.455976204686953,0.5018147564277351,0.11140217077096436,100.0,2.02477579797967,4.999074765032822,0,,,49.93021175360983,True,momentum_return,60,220,1.0,0,0,20,True,1.0,40,4776,2.02477579797967,5.0
MA60/220 taper 40d DCA 5x,1999-03-10,2026-04-06,148583.07726069272,1385.8321399371175,10.480766123157537,-92.64818559459236,0.45197216211137503,0.49393593872068003,0.11312435376790878,100.0,1.1924805913285923,4.9913062218101745,0,,,47.58419833841927,True,taper,60,220,1.0,0,40,20,False,0.0,40,3258,1.1924805913285923,5.0
MA60/220 momentum_return 20d rvol1.5 DCA 5x,1999-03-10,2026-04-06,136609.98691219313,1266.101126270207,10.13846878648983,-91.9600747802757,0.44448153763731807,0.4762739189973576,0.11024859223651268,100.0,1.5860972372076703,4.986919282372894,0,,,35.6915994415983,True,momentum_return,60,220,1.0,0,0,20,True,1.5,40,3822,1.5860972372076703,5.0
MA60/220 momentum_return 20d rvol1.25 DCA 5x,1999-03-10,2026-04-06,134549.91587456857,1245.500396936235,10.076674247183458,-93.27298610040026,0.44502765863364313,0.4812891200301633,0.10803421942915814,100.0,1.7773614854245,4.998962021673857,0,,,33.64537763617304,True,momentum_return,60,220,1.0,0,0,20,True,1.25,40,4228,1.7773614854245,5.0
MA60/220 taper 20d DCA 5x,1999-03-10,2026-04-06,121042.844984081,1110.4295637330465,9.647402457354715,-92.7106364891503,0.4351080498180534,0.4725645316759264,0.10405928405511192,100.0,1.0340982094604312,4.987763173904077,0,,,20.229110682869322,True,taper,60,220,1.0,0,20,20,False,0.0,40,2538,1.0340982094604312,5.0
MA60/220 taper 90d rvol1 DCA 5x,1999-03-10,2026-04-06,118376.54067040101,1083.7664960596812,9.55723373483448,-92.69366561304989,0.4304778735576217,0.47230473784574756,0.10310557546328133,100.0,1.4918763383892684,4.995440000906631,0,,,17.580731123666094,True,taper,60,220,1.0,0,90,20,True,1.0,40,4654,1.4918763383892684,5.0
MA60/220 taper 60d rvol1 DCA 5x,1999-03-10,2026-04-06,102927.35450628278,929.2744922479434,8.992802153383451,-92.63100356665002,0.41781181151056496,0.4545616486927863,0.09708198990754682,100.0,1.311020546480817,4.990682042443749,0,,,2.2354051481381143,True,taper,60,220,1.0,0,60,20,True,1.0,40,3826,1.311020546480817,5.0
MA60/220 taper 60d rvol1.25 DCA 5x,1999-03-10,2026-04-06,97252.17088848169,872.5226038442682,8.764721989512282,-88.22434365335525,0.41322263285077426,0.44841437153260894,0.09934584522328663,100.0,1.2367067354068872,4.9901382701238175,0,,,-3.401625933045982,False,taper,60,220,1.0,0,60,20,True,1.25,40,3576,1.2367067354068872,5.0
MA60/220 hold 60d rvol1.25 DCA 5x,1999-03-10,2026-04-06,95962.05000429573,859.6213831301197,8.711087201773648,-88.18482699425712,0.41350629345170337,0.4405952193077636,0.09878215446678762,100.0,1.0625089958335534,4.989703442598427,0,,,-4.683073726176379,False,hold,60,220,1.0,60,0,20,True,1.25,40,2316,1.0625089958335534,5.0
MA60/220 hold 20d DCA 5x,1999-03-10,2026-04-06,94274.45384697393,842.7454060268614,8.639869910116893,-92.68930394546133,0.4112434120045647,0.4439020478983648,0.09321323542574685,100.0,0.9587876563719582,4.984837535434865,0,,,-6.35932468684498,False,hold,60,220,1.0,20,0,20,False,0.0,40,2019,0.9587876563719582,5.0
MA60/220 hold 90d rvol1 DCA 5x,1999-03-10,2026-04-06,93517.6109020904,835.1769696132073,8.607531153675719,-92.35843216491897,0.40935410639407166,0.4373423813854299,0.09319702545735901,100.0,1.233876354968674,4.993369906149689,0,,,-7.111079606368875,False,hold,60,220,1.0,90,0,20,True,1.0,40,2806,1.233876354968674,5.0
MA60/220 taper 90d rvol1.25 DCA 5x,1999-03-10,2026-04-06,92031.18789360017,820.3127258495531,8.543278236489616,-88.04081180329642,0.4080299239657214,0.44520166963234337,0.09703770400910523,100.0,1.3771993258962536,4.99413424346725,0,,,-8.587509844214313,False,taper,60,220,1.0,0,90,20,True,1.25,40,4314,1.3771993258962536,5.0
MA60/220 hold 60d rvol1 DCA 5x,1999-03-10,2026-04-06,89556.54434312721,795.5662675720091,8.434057470663415,-92.48573462662088,0.4055690909267453,0.432272919086312,0.09119306350014951,100.0,1.1098097975440278,4.988966908133943,0,,,-11.045517117338067,False,hold,60,220,1.0,60,0,20,True,1.0,40,2446,1.1098097975440278,5.0
MA60/220 hold 90d rvol1.25 DCA 5x,1999-03-10,2026-04-06,87595.06778195532,775.951483909876,8.345400739903086,-87.76159184269832,0.4037043309166172,0.43009100062178174,0.09509172024661053,100.0,1.1615298490435941,4.992921503042933,0,,,-12.99380726704501,False,hold,60,220,1.0,90,0,20,True,1.25,40,2646,1.1615298490435941,5.0
MA60/220 hold 40d DCA 5x,1999-03-10,2026-04-06,85900.2971696736,759.0037621909958,8.267245428340386,-92.39205556647917,0.40113762716633733,0.43164060396731285,0.08948004650022996,100.0,1.0490310095331914,4.986344743476555,0,,,-14.677184450990833,False,hold,60,220,1.0,40,0,20,False,0.0,40,2279,1.0490310095331914,5.0
MA60/220 momentum_slope 60sma_slope DCA 5x,1999-03-10,2026-04-06,73165.98146065806,631.6604879137781,7.62750096277014,-92.44492960530786,0.4163912666943329,0.45820077907155843,0.08250859182148369,100.0,2.221178568632956,4.997926162814991,0,,,-27.325891221318187,False,momentum_slope,60,220,1.0,0,0,1,False,0.0,40,5425,2.221178568632956,5.0
MA60/220 taper 90d rvol1.5 DCA 5x,1999-03-10,2026-04-06,60882.41680568541,508.824728325009,6.899384692896371,-85.70340472032169,0.36861438354016474,0.39703430805168094,0.08050304086997857,100.0,1.1855384179823913,4.874239302491051,0,,,-39.52687720010212,False,taper,60,220,1.0,0,90,20,True,1.5,40,3780,1.1855384179823913,5.0
