exit_ts,strategy_cumulative_pnl,asset_benchmark_cumulative_pnl,sector_benchmark_cumulative_pnl,market_benchmark_cumulative_pnl,edge_vs_asset_cumulative_pnl,edge_vs_sector_cumulative_pnl,edge_vs_market_cumulative_pnl
2022-02-14T01:30:00,-43.799,-43.7051,-26.7732,-13.7483,-0.0939,-17.0258,-30.0507
2022-02-15T08:00:00,-83.9708,-83.7932,-59.5625,-28.7581,-0.1776,-24.4083,-55.2127
2022-02-22T19:10:00,-90.7207,-90.4044,-76.4782,-79.477,-0.3163,-14.2425,-11.2437
2022-02-23T10:00:00,-78.0331,-77.6155,-53.0194,-120.9129,-0.4176,-25.0137,42.8798
2022-02-25T15:45:00,-87.34,-86.8691,-63.1739,-128.2686,-0.4709,-24.1661,40.9286
2022-02-25T16:10:00,-93.5928,-93.0838,-70.4271,-133.5227,-0.509,-23.1657,39.9299
2022-02-25T19:05:00,-107.4762,-106.9041,-77.598,-129.9798,-0.5721,-29.8782,22.5036
2022-02-25T22:45:00,-97.2702,-96.5708,-80.0144,-132.16,-0.6994,-17.2558,34.8898
2022-02-28T15:15:00,-107.2733,-106.5363,-94.8754,-133.3171,-0.737,-12.3979,26.0438
2022-02-28T15:15:00,-123.1094,-122.3099,-94.5167,-119.5078,-0.7995,-28.5927,-3.6016
2022-03-09T08:45:00,-140.6331,-139.7968,-110.7275,-124.371,-0.8363,-29.9056,-16.2621
2022-03-09T14:35:00,-165.5744,-164.6796,-121.4861,-139.5778,-0.8948,-44.0883,-25.9966
2022-03-09T15:15:00,-173.2502,-172.3393,-126.8149,-140.8815,-0.9109,-46.4353,-32.3687
2022-03-09T17:40:00,-173.3033,-172.3488,-127.4451,-147.2991,-0.9545,-45.8582,-26.0042
2022-03-11T12:45:00,-177.637,-176.6215,-130.0499,-147.7704,-1.0155,-47.5871,-29.8666
2022-03-14T13:30:00,-145.0511,-143.986,-112.4153,-154.4695,-1.0651,-32.6358,9.4184
2022-03-16T02:10:00,-175.302,-174.1111,-167.8922,-165.2078,-1.1909,-7.4098,-10.0942
2022-03-16T14:25:00,-196.6288,-195.3481,-198.8261,-172.8781,-1.2807,2.1973,-23.7507
2022-03-17T14:05:00,-224.7129,-223.3438,-236.3396,-200.2055,-1.3691,11.6267,-24.5074
2022-04-01T02:50:00,-211.9669,-210.5424,-171.3235,-170.2868,-1.4245,-40.6434,-41.6801
2022-04-01T14:30:00,-223.2706,-221.7385,-178.5085,-116.7596,-1.5321,-44.7621,-106.511
2022-04-06T13:45:00,-202.2804,-200.715,-181.5696,-119.7412,-1.5654,-20.7108,-82.5392
2022-04-06T16:30:00,-184.879,-183.2577,-151.5207,-100.0571,-1.6213,-33.3583,-84.8219
2022-04-11T13:35:00,-197.2171,-195.4882,-168.5472,-148.6231,-1.7289,-28.6699,-48.594
2022-04-19T13:10:00,-196.212,-194.4015,-168.5472,-135.537,-1.8105,-27.6648,-60.675
2022-04-20T13:30:00,-202.0507,-200.1593,-156.213,-135.2469,-1.8914,-45.8377,-66.8038
2022-04-21T14:30:00,-77.8184,-75.8363,-99.1745,-127.0829,-1.9821,21.3561,49.2645
2022-04-28T13:30:00,-60.2938,-58.2333,-73.7768,-102.7434,-2.0605,13.483,42.4496
2022-05-04T18:45:00,-36.8165,-34.6661,-111.1229,-105.2374,-2.1504,74.3064,68.4209
2022-05-04T18:50:00,-53.8242,-51.58,-92.6792,-117.0724,-2.2442,38.855,63.2482
2022-05-04T19:05:00,-69.7897,-67.4702,-77.9242,-126.5404,-2.3195,8.1345,56.7507
2022-05-04T19:10:00,21.2304,23.6551,13.2279,-96.1783,-2.4247,8.0025,117.4087
2022-05-09T14:35:00,21.0808,23.5059,13.1341,-96.4452,-2.4251,7.9467,117.526
2022-05-12T06:40:00,4.7465,7.3048,25.4392,18.3038,-2.5583,-20.6927,-13.5573
2022-05-13T16:10:00,4.6707,7.2293,25.404,18.3237,-2.5586,-20.7333,-13.653
2022-05-16T15:55:00,-54.1849,-51.4977,6.8414,-44.8331,-2.6872,-61.0263,-9.3518
2022-05-17T13:30:00,-61.4299,-58.6486,4.2944,-81.0888,-2.7813,-65.7243,19.6589
2022-05-17T13:30:00,-67.0251,-64.1002,23.5508,-42.0039,-2.9249,-90.5759,-25.0212
2022-05-19T10:35:00,-67.0632,-64.138,23.5318,-41.9951,-2.9252,-90.595,-25.0681
2022-05-27T19:05:00,-84.1868,-81.1293,10.6797,-53.9817,-3.0575,-94.8665,-30.2051
2022-05-30T02:05:00,-56.6397,-53.5475,61.5218,-51.2251,-3.0922,-118.1615,-5.4146
2022-05-30T21:20:00,132.9713,136.1876,266.2641,-28.3191,-3.2163,-133.2928,161.2904
2022-05-31T13:30:00,101.8722,105.1683,239.1294,-47.1349,-3.2961,-137.2572,149.0071
2022-05-31T17:40:00,88.5277,91.8881,235.287,-35.9128,-3.3604,-146.7593,124.4405
2022-06-02T13:40:00,81.7081,85.1779,225.5098,-37.952,-3.4698,-143.8017,119.6601
2022-06-08T17:50:00,27.4225,30.9954,225.5098,-37.952,-3.5729,-198.0873,65.3745
2022-06-15T18:30:00,43.531,47.1532,225.7442,-70.0542,-3.6222,-182.2132,113.5852
2022-06-20T10:50:00,53.2742,56.8986,234.5859,-66.5381,-3.6244,-181.3117,119.8123
2022-06-21T13:40:00,170.2615,173.9665,332.6958,0.3001,-3.705,-162.4343,169.9614
2022-06-21T13:40:00,167.6516,171.3715,332.5543,-0.4259,-3.7199,-164.9027,168.0775
2022-06-21T13:45:00,302.3432,306.1405,430.6642,66.4123,-3.7973,-128.321,235.9309
2022-06-21T13:55:00,321.0158,324.9552,448.2489,172.1866,-3.9394,-127.2331,148.8292
2022-06-24T13:50:00,371.38,375.4584,436.9543,262.0523,-4.0784,-65.5743,109.3277
2022-07-01T00:25:00,343.835,347.9709,443.4455,265.0799,-4.1359,-99.6105,78.7551
2022-07-06T13:30:00,296.5153,300.7889,436.9966,257.0603,-4.2736,-140.4813,39.455
2022-07-07T13:40:00,273.0384,277.5066,417.7244,226.6776,-4.4682,-144.686,46.3608
2022-07-07T14:30:00,212.6104,217.2761,296.3386,167.2183,-4.6657,-83.7282,45.3921
2022-07-14T15:45:00,127.3626,132.2066,197.2405,138.6592,-4.844,-69.8779,-11.2966
2022-07-22T11:35:00,170.5486,175.5763,238.8867,103.7765,-5.0277,-68.3381,66.7721
2022-07-22T15:05:00,191.3044,196.3502,260.4783,106.8562,-5.0458,-69.1739,84.4482
2022-07-29T13:40:00,180.6701,185.8295,255.5225,71.5092,-5.1594,-74.8524,109.1609
2022-07-29T14:20:00,255.2543,260.4992,305.1408,91.2952,-5.2449,-49.8865,163.9591
2022-08-03T14:35:00,237.241,242.5767,295.6634,83.472,-5.3357,-58.4224,153.769
2022-08-04T13:30:00,162.6394,168.1494,256.0154,97.3696,-5.51,-93.376,65.2698
2022-08-30T13:30:00,180.5596,186.2352,274.5406,4.3334,-5.6756,-93.981,176.2262
2022-09-06T00:30:00,229.2937,235.1269,341.8605,78.2298,-5.8332,-112.5668,151.0639
2022-09-06T00:50:00,228.7415,234.5819,341.7969,79.1809,-5.8404,-113.0554,149.5606
2022-09-08T15:45:00,239.798,245.804,343.9228,90.4931,-6.006,-104.1248,149.3049
2022-09-09T14:50:00,218.7807,224.9397,342.1187,127.9472,-6.159,-123.338,90.8335
2022-09-09T17:10:00,244.8453,251.1531,340.3146,165.4009,-6.3078,-95.4693,79.4444
