ticker,source,session_open,asset_bucket,direction,entry_ts,exit_ts,entry_price,exit_price,shares,notional,entry_exposure_mult,scale,entry_rel_volume,risk_model,net_pnl,equity_after_exit
ETH-USD,binance,hong_kong_open,crypto,short,2022-02-22T03:10:00,2022-02-25T22:45:00,2532.8533,2786.6959,0.236887,600.0,2.0,0.857143,4.0409,directional_volume_boost,-60.258,939.742
PAXG-USD,binance,new_york_equity_open,crypto,long,2022-02-20T15:00:00,2022-02-28T09:15:00,1932.3864,1880.6238,0.362246,700.0,2.0,1.0,8.114,directional_volume_boost,-18.8889,920.8531
SOL-USD,binance,hong_kong_open,crypto,short,2022-02-20T03:35:00,2022-02-28T15:15:00,88.2323,96.3893,5.666856,500.0,2.0,1.0,5.5783,base,-46.329,874.5241
BTC-USD,binance,new_york_equity_open,crypto,long,2022-03-24T15:00:00,2022-04-06T13:45:00,43590.8264,44191.16,0.016058,700.0,1.5,1.0,3.1008,directional_volume_boost,9.4992,884.0233
ETH-USD,binance,new_york_equity_open,crypto,long,2022-03-24T15:05:00,2022-04-11T09:15:00,3087.1973,3142.5214,0.155678,480.6075,1.5,0.686582,3.173,directional_volume_boost,8.5157,892.539
BTC-USD,binance,hong_kong_open,crypto,short,2022-04-18T04:20:00,2022-04-21T10:15:00,38938.1708,42358.7601,0.013307,518.1499,1.5,0.796187,15.5838,directional_volume_boost,-45.6249,846.9142
PAXG-USD,binance,new_york_equity_open,crypto,long,2022-04-12T14:55:00,2022-04-21T11:45:00,1973.3946,1939.612,0.348018,686.7778,1.5,1.0,3.9298,directional_volume_boost,-11.8932,835.021
PAXG-USD,binance,new_york_equity_open,crypto,short,2022-05-02T13:50:00,2022-05-12T07:00:00,1857.6284,1910.382,0.022744,42.25,1.5,0.062274,4.8846,directional_volume_boost,-1.2084,833.8126
PAXG-USD,binance,hong_kong_open,crypto,short,2022-05-16T07:55:00,2022-05-23T04:15:00,1792.6414,1859.3718,0.022659,40.6187,1.5,0.061259,5.176,directional_volume_boost,-1.5203,832.2923
BTC-USD,binance,hong_kong_open,crypto,short,2022-04-25T07:05:00,2022-05-30T06:15:00,38266.1452,30783.4855,0.015959,610.6763,1.5,1.0,10.8851,directional_volume_boost,119.3055,951.5978
SOL-USD,binance,new_york_equity_open,crypto,short,2022-04-29T18:25:00,2022-06-21T14:40:00,94.2311,38.5577,5.033919,474.352,1.5,1.0,1.2043,base,280.1885,1231.7863
BTC-USD,binance,hong_kong_open,crypto,short,2022-06-12T02:30:00,2022-07-07T19:30:00,27890.7107,21544.158,0.02489,694.1902,2.0,1.0,11.5011,directional_volume_boost,157.8427,1389.629
ETH-USD,binance,hong_kong_open,crypto,long,2022-07-22T09:05:00,2022-07-25T19:20:00,1637.0473,1473.0479,0.556459,910.9495,2.0,1.0,6.4146,directional_volume_boost,-91.432,1298.197
PAXG-USD,binance,new_york_equity_open,crypto,short,2022-06-14T14:15:00,2022-07-27T19:05:00,1818.6362,1734.3468,0.261133,474.9067,2.0,1.0,1.678,base,21.918,1320.115
SOL-USD,binance,hong_kong_open,crypto,long,2022-08-13T05:20:00,2022-08-15T23:00:00,47.8096,43.02,4.993023,238.7142,2.0,0.391392,1.2407,base,-23.9599,1296.1551
PAXG-USD,binance,new_york_equity_open,crypto,long,2022-08-04T18:55:00,2022-08-17T08:00:00,1789.3578,1765.6468,0.271531,485.8657,2.0,1.0,0.5761,base,-6.5348,1289.6203
BTC-USD,binance,hong_kong_open,crypto,long,2022-07-29T06:40:00,2022-08-19T06:30:00,24326.9844,22660.1571,0.033078,804.68,2.0,1.0,5.1517,directional_volume_boost,-55.2908,1234.3295
ETH-USD,binance,hong_kong_open,crypto,long,2022-07-28T02:50:00,2022-08-19T21:45:00,1672.2144,1656.4486,0.506482,846.9471,2.0,1.0,8.5212,directional_volume_boost,-8.1537,1226.1758
SOL-USD,binance,new_york_equity_open,crypto,short,2022-08-20T19:10:00,2022-09-06T15:50:00,35.063,33.5667,24.5337,860.2248,1.5,1.0,4.5276,directional_volume_boost,36.5411,1262.7169
BTC-USD,binance,new_york_equity_open,crypto,short,2022-08-26T15:20:00,2022-09-09T05:30:00,20706.7078,20580.3652,0.038398,795.1125,1.5,0.86516,2.267,directional_volume_boost,4.6928,1267.4096
BTC-USD,binance,hong_kong_open,crypto,short,2022-09-19T06:00:00,2022-09-27T03:10:00,18455.4082,20193.0378,0.040886,754.5742,2.0,1.0,3.0791,directional_volume_boost,-71.2028,1196.2068
PAXG-USD,binance,new_york_equity_open,crypto,short,2022-09-15T14:35:00,2022-10-03T14:05:00,1675.6648,1670.334,0.397188,665.5541,2.0,1.0,5.5971,directional_volume_boost,1.9844,1198.1912
ETH-USD,binance,new_york_equity_open,crypto,short,2022-09-16T16:35:00,2022-10-23T22:00:00,1421.4756,1343.3886,0.448471,637.4906,2.0,1.0,1.343,base,34.8958,1233.087
SOL-USD,binance,hong_kong_open,crypto,short,2022-10-13T06:45:00,2022-10-25T17:00:00,30.3639,31.4863,19.2124,583.3639,1.5,1.0,4.8572,base,-21.6827,1211.4043
PAXG-USD,binance,new_york_equity_open,crypto,short,2022-10-19T15:20:00,2022-10-26T07:25:00,1625.6748,1662.3324,0.244024,396.7037,1.5,0.832732,21.5504,base,-9.0256,1202.3788
ETH-USD,binance,new_york_equity_open,crypto,long,2022-10-26T17:55:00,2022-11-08T04:00:00,1561.5422,1502.0195,0.587185,916.9138,1.5,1.0,1.3131,directional_volume_boost,-35.1307,1167.2481
BTC-USD,binance,new_york_equity_open,crypto,long,2022-11-04T14:25:00,2022-11-08T04:10:00,21156.0404,20027.2338,0.033385,706.2976,1.5,0.765358,1.5672,directional_volume_boost,-37.8226,1129.4254
SOL-USD,binance,hong_kong_open,crypto,short,2022-11-09T07:45:00,2022-11-26T10:50:00,19.7461,14.963,38.554885,761.3067,1.5,1.0,1.7071,directional_volume_boost,184.2784,1313.7038
SOL-USD,binance,new_york_equity_open,crypto,short,2022-12-16T16:25:00,2023-01-03T06:25:00,12.7175,12.0024,37.973447,482.9256,2.0,1.0,7.232,base,27.0609,1340.7647
