ticker,source,session_open,asset_bucket,direction,entry_ts,exit_ts,entry_price,exit_price,shares,notional,entry_exposure_mult,scale,entry_rel_volume,risk_model,net_pnl,equity_after_exit
COPPER,tiingo,new_york_equity_open,metals,long,2022-02-09T19:20:00,2022-02-23T19:45:00,28.1856,27.1646,24.835345,700.0,2.0,1.0,40.0,directional_volume_boost,-25.4952,974.5048
BTC-USD,binance,hong_kong_open,crypto,short,2022-02-24T03:00:00,2022-02-24T20:05:00,35917.735,39517.4104,0.018211,654.1086,2.0,0.934441,11.8993,directional_volume_boost,-65.6922,908.8126
PAXG-USD,binance,new_york_equity_open,gold,long,2022-02-20T15:00:00,2022-02-28T09:15:00,1932.3864,1880.6238,0.310497,600.0,2.0,0.857143,8.114,directional_volume_boost,-16.1905,892.6221
SOL-USD,binance,hong_kong_open,crypto,short,2022-02-20T03:35:00,2022-02-28T15:15:00,88.2323,96.3893,5.666856,500.0,2.0,1.0,5.5783,base,-46.329,846.2931
COPPER,tiingo,new_york_equity_open,metals,long,2022-03-03T14:35:00,2022-04-01T14:30:00,28.9958,28.5443,23.525939,682.1534,2.0,1.0,2.8263,directional_volume_boost,-10.7575,835.5356
BTC-USD,binance,new_york_equity_open,crypto,long,2022-03-24T15:00:00,2022-04-06T13:45:00,43590.8264,44191.16,0.016058,700.0,2.0,1.0,3.1008,directional_volume_boost,9.4992,845.0348
ETH-USD,binance,new_york_equity_open,crypto,long,2022-03-24T15:05:00,2022-04-11T09:15:00,3087.1973,3142.5214,0.045729,141.1742,2.0,0.201677,3.173,directional_volume_boost,2.5014,847.5362
COPPER,tiingo,new_york_equity_open,metals,long,2022-04-04T15:05:00,2022-04-11T13:35:00,29.1858,28.4843,22.709299,662.7899,2.0,0.98246,15.8604,directional_volume_boost,-16.0615,831.4747
BTC-USD,binance,hong_kong_open,crypto,short,2022-04-18T04:20:00,2022-04-21T10:15:00,38938.1708,42358.7601,0.016713,650.7892,2.0,1.0,15.5838,directional_volume_boost,-57.3042,774.1705
PAXG-USD,binance,new_york_equity_open,gold,long,2022-04-12T14:55:00,2022-04-21T11:45:00,1973.3946,1939.612,0.348018,686.7778,2.0,1.0,3.9298,directional_volume_boost,-11.8932,762.2773
PAXG-USD,binance,new_york_equity_open,gold,short,2022-05-02T13:50:00,2022-05-12T07:00:00,1857.6284,1910.382,0.068896,127.9834,2.0,0.18864,4.8846,directional_volume_boost,-3.6605,758.6168
PAXG-USD,binance,hong_kong_open,gold,short,2022-05-16T07:55:00,2022-05-23T04:15:00,1792.6414,1859.3718,0.067718,121.3945,2.0,0.183081,5.176,directional_volume_boost,-4.5436,754.0732
BTC-USD,binance,hong_kong_open,crypto,short,2022-04-25T07:05:00,2022-05-30T06:15:00,38266.1452,30783.4855,0.015959,610.6763,2.0,1.0,10.8851,directional_volume_boost,119.3055,873.3787
SOL-USD,binance,new_york_equity_open,crypto,short,2022-04-29T18:25:00,2022-06-21T14:40:00,94.2311,38.5577,5.033919,474.352,2.0,1.0,1.2043,base,280.1885,1153.5672
ETH-USD,binance,hong_kong_open,crypto,short,2022-04-18T04:20:00,2022-06-26T11:40:00,2907.4484,1257.0214,0.054717,159.0874,2.0,0.244016,13.6084,directional_volume_boost,90.2839,1243.8511
SPY,tiingo,new_york_equity_open,equity,short,2022-06-13T13:40:00,2022-06-27T13:30:00,380.169,389.948,0.643009,244.4521,2.0,0.485139,1.0516,base,-6.3375,1237.5135
