date,strategy,total_value,exposure_equity,reserve_cash,target_leverage,regime_signal,window
2014-11-03,plain_dca,9997.000899730081,9997.000899730081,0.0,1.0,,full_common_window
2014-11-04,plain_dca,9962.321640052538,9962.321640052538,0.0,1.0,,full_common_window
2014-11-05,plain_dca,10025.244407016104,10025.244407016104,0.0,1.0,,full_common_window
2014-11-06,plain_dca,10065.376293880301,10065.376293880301,0.0,1.0,,full_common_window
2014-11-07,plain_dca,10074.787124506156,10074.787124506156,0.0,1.0,,full_common_window
2014-11-10,plain_dca,10106.502321357822,10106.502321357822,0.0,1.0,,full_common_window
2014-11-11,plain_dca,10116.409763314987,10116.409763314987,0.0,1.0,,full_common_window
2014-11-12,plain_dca,10105.510934596612,10105.510934596612,0.0,1.0,,full_common_window
2014-11-13,plain_dca,10116.906374646298,10116.906374646298,0.0,1.0,,full_common_window
2014-11-14,plain_dca,10119.382087697208,10119.382087697208,0.0,1.0,,full_common_window
2014-11-17,plain_dca,10125.825183694367,10125.825183694367,0.0,1.0,,full_common_window
2014-11-18,plain_dca,10184.291299986013,10184.291299986013,0.0,1.0,,full_common_window
2014-11-19,plain_dca,10167.93525432746,10167.93525432746,0.0,1.0,,full_common_window
2014-11-20,plain_dca,10185.773790374302,10185.773790374302,0.0,1.0,,full_common_window
2014-11-21,plain_dca,10240.27435962111,10240.27435962111,0.0,1.0,,full_common_window
2014-11-24,plain_dca,10269.013560287736,10269.013560287736,0.0,1.0,,full_common_window
2014-11-25,plain_dca,10261.579995480071,10261.579995480071,0.0,1.0,,full_common_window
2014-11-26,plain_dca,10287.84348309579,10287.84348309579,0.0,1.0,,full_common_window
2014-11-28,plain_dca,10266.043071806926,10266.043071806926,0.0,1.0,,full_common_window
2014-12-01,plain_dca,10294.666280222491,10294.666280222491,0.0,1.0,,full_common_window
2014-12-02,plain_dca,10361.205690212759,10361.205690212759,0.0,1.0,,full_common_window
