month,spy_gate_signal,qqq_expression_signal,policy_signal,target_leverage,total_value,reserve_cash
2014-11,neutral,risk_on,neutral,1.0,10420.668219933399,0.0
2014-12,neutral,neutral,neutral,1.0,10286.026552593346,0.0
2015-01,neutral,neutral,neutral,1.0,10170.021675832377,0.0
2015-02,neutral,neutral,neutral,1.0,11010.618119978222,0.0
2015-03,neutral,neutral,neutral,1.0,10847.619336202075,0.0
2015-04,neutral,risk_on,neutral,1.0,11158.571795154296,0.0
2015-05,neutral,risk_on,neutral,1.0,11510.351796981167,0.0
2015-06,neutral,risk_on,neutral,1.0,11321.588621428413,0.0
2015-07,neutral,risk_on,neutral,1.0,11941.299892631634,0.0
2015-08,neutral,neutral,neutral,1.0,11219.808560501404,0.0
2015-09,neutral,neutral,neutral,1.0,11073.074139587463,0.0
2015-10,neutral,risk_on,neutral,1.0,12442.905602440333,0.0
2015-11,risk_off,risk_off,risk_off,1.0,12618.662370735728,100.0
2015-12,neutral,risk_off,neutral,1.0,12513.823863089166,0.0
2016-01,neutral,risk_off,neutral,1.0,11744.129737623827,0.0
2016-02,neutral,risk_on,neutral,1.0,11658.434419798297,0.0
2016-03,neutral,neutral,neutral,1.0,12560.840525397729,0.0
2016-04,neutral,risk_off,neutral,1.0,12256.318687954334,0.0
2016-05,neutral,risk_off,neutral,1.0,12895.282483238327,0.0
2016-06,risk_off,risk_off,risk_off,1.0,12701.52904972352,100.0
2016-07,neutral,neutral,neutral,1.0,13715.809715475569,0.0
2016-08,neutral,risk_off,neutral,1.0,13960.319305633986,0.0
2016-09,neutral,neutral,neutral,1.0,14371.258942168848,0.0
2016-10,neutral,neutral,neutral,1.0,14260.49617976856,0.0
2016-11,neutral,neutral,neutral,1.0,14423.828280236252,0.0
2016-12,neutral,neutral,neutral,1.0,14690.016485347718,0.0
2017-01,neutral,neutral,neutral,1.0,15549.27510818847,0.0
2017-02,neutral,neutral,neutral,1.0,16333.1963428049,0.0
2017-03,risk_off,risk_off,risk_off,1.0,16764.2456560025,100.0
2017-04,neutral,risk_off,neutral,1.0,17324.19723693877,0.0
2017-05,neutral,risk_off,neutral,1.0,18102.330013892795,0.0
2017-06,neutral,neutral,neutral,1.0,17780.00652588622,0.0
2017-07,neutral,neutral,neutral,1.0,18607.245155493405,0.0
2017-08,neutral,neutral,neutral,1.0,19094.884660957567,0.0
2017-09,neutral,neutral,neutral,1.0,19138.32651850235,0.0
2017-10,neutral,neutral,neutral,1.0,20124.392956289525,0.0
2017-11,neutral,neutral,neutral,1.0,20623.17277147863,0.0
2017-12,neutral,neutral,neutral,1.0,20848.550699472387,0.0
2018-01,neutral,neutral,neutral,1.0,22781.123184531207,0.0
2018-02,neutral,neutral,neutral,1.0,22586.140915367585,0.0
2018-03,neutral,neutral,neutral,1.0,21762.369708233593,0.0
2018-04,neutral,risk_on,neutral,1.0,21975.909507428678,0.0
2018-05,neutral,risk_on,neutral,1.0,23327.034296636542,0.0
2018-06,neutral,risk_on,neutral,1.0,23693.691186519718,0.0
2018-07,neutral,risk_on,neutral,1.0,24458.34127406786,0.0
2018-08,neutral,risk_on,neutral,1.0,25977.552004963152,0.0
2018-09,neutral,risk_on,neutral,1.0,26004.50826832953,0.0
2018-10,neutral,risk_on,neutral,1.0,23860.42256666946,0.0
2018-11,neutral,risk_on,neutral,1.0,23895.599415654426,0.0
2018-12,neutral,risk_on,neutral,1.0,21915.809745768274,0.0
2019-01,risk_on,risk_on,risk_on,2.0,25796.341027738334,0.0
2019-02,risk_on,neutral,risk_on,2.0,27335.23512561169,0.0
2019-03,neutral,risk_on,neutral,1.0,28691.917296012376,0.0
2019-04,neutral,risk_on,neutral,1.0,30373.853482196835,0.0
2019-05,neutral,risk_on,neutral,1.0,27967.58981221016,0.0
2019-06,risk_on,risk_on,risk_on,2.0,33007.46724152443,0.0
2019-07,neutral,neutral,neutral,1.0,34311.27085223212,0.0
2019-08,neutral,neutral,neutral,1.0,33758.071491655035,0.0
2019-09,neutral,neutral,neutral,1.0,34169.81171296491,0.0
2019-10,neutral,risk_on,neutral,1.0,35771.672066221254,0.0
2019-11,neutral,neutral,neutral,1.0,37330.47772187143,0.0
2019-12,neutral,neutral,neutral,1.0,38886.2070700678,0.0
2020-01,neutral,neutral,neutral,1.0,10131.580886224307,0.0
2020-02,neutral,neutral,neutral,1.0,9610.384297614219,0.0
2020-03,risk_on,risk_on,risk_on,2.0,7379.717404188659,0.0
2020-04,risk_on,neutral,risk_on,2.0,9716.270156916094,0.0
2020-05,neutral,neutral,neutral,1.0,10161.513674059463,0.0
2020-06,risk_off,risk_off,risk_off,1.0,10900.335206025711,100.0
2020-07,risk_off,risk_off,risk_off,1.0,11793.786877978002,200.0
2020-08,risk_off,risk_off,risk_off,1.0,13162.693946833358,300.0
2020-09,risk_off,risk_off,risk_off,1.0,12519.405104386458,400.0
2020-10,risk_on,risk_on,risk_on,2.0,11538.666577507322,0.0
2020-11,risk_on,risk_on,risk_on,2.0,14269.00653556193,0.0
2020-12,risk_on,risk_on,risk_on,2.0,15715.515017857899,0.0
2021-01,neutral,risk_off,neutral,1.0,15624.406962206089,0.0
2021-02,risk_on,risk_off,neutral,1.0,15700.950715743542,0.0
2021-03,neutral,risk_on,neutral,1.0,16069.216685332012,0.0
2021-04,risk_off,risk_off,risk_off,1.0,17118.877700692745,100.0
2021-05,risk_off,risk_off,risk_off,1.0,17014.440812344386,200.0
2021-06,risk_off,risk_off,risk_off,1.0,18167.382787580205,300.0
2021-07,risk_off,risk_off,risk_off,1.0,18778.555765978297,400.0
2021-08,risk_off,risk_off,risk_off,1.0,19653.88819930529,500.0
2021-09,risk_off,risk_off,risk_off,1.0,18665.343238943886,600.0
2021-10,risk_on,risk_off,neutral,1.0,20236.171796164606,0.0
2021-11,risk_off,risk_off,risk_off,1.0,20740.25547855735,100.0
2021-12,risk_off,risk_off,risk_off,1.0,21078.104211720267,200.0
